id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	503.6	1.06666666667	41721.2	0.0	75	13275	14250	13275	1.0	0.0	382.6	125.0	11.6666666667	0.0	73.7892131573	
2	515.133333333	0.8	41599.0666667	0.0	75	13350	14325	13275	1.0	0.0	382.733333333	125.0	11.6666666667	0.0	73.7436134441	
3	511.533333333	1.06666666667	41502.6666667	0.0	75	13275	14250	13275	1.0	0.0	384.5625	125.0	11.75	0.0	73.8396430217	
4	492.733333333	0.866666666667	41486.4	0.0	75	13350	14325	13275	1.0	0.0	382.666666667	125.0	11.2666666667	0.0	73.5613477121	
5	484.133333333	0.4	41503.3333333	0.0	75	13425	14325	13350	1.0	0.0	385.8	125.0	11.0666666667	0.0	74.0229698214	
6	506.533333333	1.0	41272.0	0.0	75	13500	14475	13500	1.0	0.0	384.866666667	125.0	12.2	0.0	74.1728099811	
7	487.0625	0.8125	41312.3125	0.0	75	13500	14475	13500	1.0	0.0	386.0	125.0	11.6666666667	0.0	74.347445617	
8	504.733333333	0.533333333333	41411.8666667	0.0	75	13500	14400	13425	1.0	0.0	386.666666667	125.0	11.5333333333	0.0	74.0492331996	
9	465.733333333	1.0	41396.3333333	0.0	75	13575	14475	13500	1.0	0.0	387.0	125.0	11.6	0.0	74.3527713133	
10	429.266666667	0.6	41522.8666667	0.0	75	13575	14475	13500	1.0	0.0	385.214285714	125.0	11.5714285714	0.0	74.2076763818	
11	523.1875	0.875	41392.4375	0.0	75	13200	14175	13200	1.0	0.0	386.066666667	125.0	11.4666666667	0.0	73.5706034207	
12	528.470588235	0.588235294118	41548.7058824	0.0	75	13275	14250	13275	1.0	0.0	386.133333333	125.0	11.9333333333	0.0	73.9237395388	
13	440.866666667	0.8	41170.4666667	0.0	75	13275	14250	13275	1.0	0.0	386.266666667	125.0	11.3333333333	0.0	74.0149136779	
14	494.266666667	1.13333333333	41570.0	0.0	75	13350	14250	13350	1.0	0.0	386.933333333	125.0	11.2666666667	0.0	74.0011958858	
15	494.933333333	0.6	41692.5333333	0.0	75	13500	14400	13425	1.0	0.0	383.666666667	125.0	11.3333333333	0.0	73.7189332388	
16	507.6	0.733333333333	41805.1333333	0.0	75	13575	14475	13500	1.0	0.0	384.866666667	125.0	11.2666666667	0.0	74.1247119781	
17	513.0	0.8	41337.0666667	0.0	75	13500	14475	13500	2.0	0.0	386.2	125.0	11.6	0.0	73.8482902619	
18	511.8	0.733333333333	42318.8	0.0	75	13800	13800	13725	2.0	0.0	385.666666667	125.0	11.4666666667	0.0	74.5813232176	
19	511.666666667	0.733333333333	42270.6666667	0.0	75	13950	13875	13875	2.0	0.0	386.0	125.0	11.2	0.0	74.2724871013	
20	519.133333333	0.8	42301.2666667	0.0	75	13875	13800	13800	2.0	0.0	385.933333333	125.0	11.4666666667	0.0	74.4177954171	
21	532.266666667	0.733333333333	41448.3333333	0.0	75	13875	13800	13800	1.0	0.0	385.933333333	125.0	11.4	0.0	73.4875198345	
22	506.666666667	0.666666666667	42452.1333333	0.0	75	13800	13800	13725	2.0	0.0	385.071428571	125.0	11.6428571429	0.0	74.5814730059	
23	462.6	1.06666666667	42103.2666667	0.0	75	13875	13875	13800	2.0	0.0	384.6	125.0	11.8666666667	0.0	74.3955032005	
24	519.333333333	0.866666666667	42355.4666667	0.0	75	13875	13875	13800	2.0	0.0	388.666666667	125.0	12.2	0.0	74.5655782209	
25	478.066666667	0.8	42398.4666667	0.0	75	13875	13800	13800	2.0	0.0	384.933333333	125.0	11.6	0.0	74.1588119441	
26	516.6	1.06666666667	42592.6666667	0.0	75	13875	13875	13800	2.0	0.0	387.533333333	125.0	11.8	0.0	74.4449971983	
27	671.4	1.13333333333	36753.4	0.0	75	13500	13425	13275	2.0	0.0	379.133333333	125.0	12.0666666667	0.0	72.9866901789	
28	514.6	0.6	42525.4	0.0	75	13050	12975	12825	2.0	0.0	384.5	125.0	12.8125	0.0	72.0503780648	
29	674.8	0.6	36711.1333333	0.0	75	13275	13200	13125	2.0	0.0	381.571428571	125.0	11.4285714286	0.0	72.7201762826	
30	497.071428571	0.642857142857	41577.3571429	0.0	75	13275	13200	13125	1.0	0.0	385.066666667	125.0	11.0	0.0	73.7102543186	
31	610.533333333	0.733333333333	36834.5333333	0.0	75	13425	13350	13275	2.0	0.0	379.2	125.0	11.6666666667	0.0	72.8612973845	
32	615.733333333	1.4	37012.0	0.0	75	13575	13500	13425	2.0	0.0	380.6	125.0	11.1333333333	0.0	72.7557630063	
33	676.0	0.933333333333	36764.9333333	0.0	75	13425	13275	13275	2.0	0.0	380.2	125.0	11.8	0.0	72.8564987982	
34	663.6	0.933333333333	36854.8	0.0	75	13800	13725	13650	2.0	0.0	385.2	125.0	11.8	0.0	72.9943054701	
35	527.333333333	0.733333333333	41518.7333333	0.0	75	13425	14325	13350	1.0	0.0	385.266666667	125.0	11.4666666667	0.0	73.4588610803	
36	516.133333333	1.4	41393.6666667	0.0	75	13050	13950	13050	1.0	0.0	384.933333333	125.0	11.4	0.0	73.6782335341	
37	512.666666667	0.933333333333	41524.0	0.0	75	13275	14250	13275	1.0	0.0	385.066666667	125.0	11.6	0.0	73.5329752974	
38	537.466666667	0.933333333333	41528.2	0.0	75	13200	14175	13200	1.0	0.0	386.933333333	125.0	11.6666666667	0.0	73.941264185	
39	491.733333333	1.2	41503.1333333	0.0	75	13350	14325	13350	1.0	0.0	386.266666667	125.0	11.4666666667	0.0	73.9068101325	
40	508.133333333	0.733333333333	41871.2666667	0.0	75	13200	14025	13125	1.0	0.0	387.6	125.0	11.6666666667	0.0	73.5467076663	
