id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	557.0	4.5	31617.8571429	0.0	42	2772	2562	2310	0.0	3.05882352941	238.117647059	41.0	10.2352941176	0.0	42.5156007564	
2	558.733333333	4.86666666667	31674.9333333	0.0	42	2058	2058	1974	0.0	3.13333333333	245.8	41.0	10.6666666667	0.0	41.8702487872	
3	548.0	4.76923076923	31895.0769231	0.0	42	2688	2520	2310	0.0	3.21428571429	240.214285714	41.0	10.5714285714	0.0	41.5751083675	
4	530.266666667	5.13333333333	31020.0666667	0.0	42	2394	2268	2142	0.0	3.0	233.133333333	41.0	10.3333333333	0.0	40.3549848666	
5	504.769230769	4.92307692308	29304.5384615	0.0	42	2058	2016	1974	0.0	3.07142857143	223.214285714	41.0	10.5	0.0	40.8568435729	
6	545.133333333	5.46666666667	31159.3333333	0.0	42	2520	2352	2142	0.0	3.13333333333	240.866666667	41.0	10.6666666667	0.0	41.9011755474	
7	532.8	5.33333333333	30800.3333333	0.0	42	2646	2478	2184	0.0	3.28571428571	244.285714286	41.0	11.0714285714	0.0	41.843407352	
8	539.071428571	4.5	31078.7142857	0.0	42	2352	2268	2100	0.0	3.4	238.066666667	41.0	11.1333333333	0.0	41.8455381301	
9	548.066666667	4.46666666667	31836.8	0.0	42	2562	2352	2142	0.0	3.13333333333	237.866666667	41.0	10.8	0.0	41.3072250686	
10	556.2	4.46666666667	31201.4	0.0	42	2604	2394	2142	0.0	2.84615384615	238.076923077	41.0	10.7692307692	0.0	42.6056249637	
11	540.4	4.4	30910.3333333	0.0	42	2394	2310	2142	0.0	3.21428571429	234.857142857	41.0	10.5714285714	0.0	39.9902977627	
12	549.533333333	4.73333333333	30715.6666667	0.0	42	2184	2100	1974	0.0	3.13333333333	239.133333333	41.0	10.2	0.0	42.1678332002	
13	534.833333333	4.5	30605.4166667	0.0	42	2184	2100	1974	0.0	3.5	239.5	41.0	11.2142857143	0.0	41.7337537379	
14	528.333333333	5.26666666667	30511.1333333	0.0	42	2604	2394	2142	0.0	3.06666666667	230.266666667	41.0	10.2	0.0	41.2137199502	
15	530.666666667	4.8	30450.7333333	0.0	42	2184	2100	1932	0.0	3.2	228.6	41.0	10.6	0.0	42.310810811	
16	543.642857143	4.14285714286	31088.1428571	0.0	42	1764	1680	1596	0.0	3.15384615385	234.307692308	41.0	10.8461538462	0.0	41.3052311859	
17	505.4	4.93333333333	29838.2	0.0	42	2268	2226	2184	0.0	3.0	209.6	40.8	10.2	0.0	39.7159320926	
18	519.8	5.13333333333	30689.0	0.0	42	1512	1512	1470	0.0	3.13333333333	222.6	41.0	10.8666666667	0.0	40.2161174861	
19	491.733333333	5.26666666667	28497.9333333	0.0	42	2226	2184	2142	0.0	3.28571428571	219.071428571	41.0	10.7857142857	0.0	41.589289076	
20	537.714285714	5.0	30898.7857143	0.0	42	2562	2394	2184	0.0	3.23529411765	235.0	41.0	10.7058823529	0.0	40.7289086849	
21	495.4	4.73333333333	29635.6666667	0.0	42	2226	2184	2142	0.0	3.23076923077	221.846153846	41.0	11.1538461538	0.0	41.8125978942	
