id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	6669.86666667	0.5	368291.066667	0.0	140	4340	4900	5040	16.4193548387	0.0	309.064516129	89.4193548387	47.2258064516	0.0	189.618442382	
2	6655.4	0.666666666667	368193.666667	1.13333333333	140	4200	4900	5040	16.6551724138	0.0	289.344827586	68.275862069	37.2068965517	0.0	189.643714108	
3	6652.34482759	0.931034482759	367451.586207	0.0	140	4340	4760	5040	16.3793103448	0.0	305.24137931	81.9310344828	43.5517241379	0.0	189.37242921	
4	6650.03225806	0.516129032258	369259.83871	0.0	140	4340	4900	5040	17.3333333334	0.0	308.066666667	88.0	46.4666666667	0.0	189.185240461	
5	6654.86666667	1.03333333333	368458.466667	0.0	140	4340	4760	4900	16.8148148148	0.0	295.074074074	88.0	46.2962962963	0.0	190.013913816	
6	6653.23333333	0.8	370208.433333	0.0	140	4340	4900	5040	16.375	0.0	298.125	82.5	43.71875	0.0	189.320226068	
7	6648.36666667	0.733333333333	367768.833333	0.0	140	4480	5040	5040	16.8214285714	0.0	247.678571429	70.7142857143	37.8928571429	0.0	189.444498781	
8	6639.53333333	0.8	368836.266667	0.0	140	4340	4900	5040	16.6451612903	0.0	303.387096774	97.935483871	51.064516129	0.0	189.138251459	
9	6643.8	0.733333333333	367647.666667	0.0	140	4480	4900	5040	17.1724137931	0.0	279.379310345	68.275862069	36.8965517241	0.0	189.626577685	
10	6665.56666667	0.866666666667	368533.966667	0.0	140	4200	4760	5040	16.4	0.0	305.966666667	83.6	44.5333333333	0.0	188.846378436	
11	6667.03333333	0.9	369530.033333	0.0	140	4340	4760	5040	16.7241379311	0.0	308.551724138	91.0344827586	47.9655172414	0.0	189.464373909	
12	6641.33333333	0.633333333333	368091.633333	0.0	140	4340	4900	4900	16.7419354839	0.0	287.387096774	59.6129032258	33.0	0.0	189.153540096	
