id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	855.2	0.8	51564.6	0.0	115	16560	16675	16560	6.6	0.0	331.9	121.3	26.8	0.0	105.445885127	
2	835.1	1.1	51733.7	0.0	115	16560	16560	16445	6.6	0.0	330.7	121.4	26.2	0.0	106.44461442	
3	828.1	1.3	51634.8	0.0	115	16675	16675	16560	7.4	0.0	331.5	121.4	26.6	0.0	104.92491442	
4	839.8	1.3	51368.1	0.0	115	16560	16675	16445	4.9	0.0	329.7	121.3	25.9	0.0	105.538623789	
5	821.545454545	3.45454545455	49210.2727273	0.0	115	16790	16790	16675	28.4	0.0	284.9	120.5	18.2	0.0	107.608814877	
6	855.4	4.1	52477.2	0.1	115	16905	16905	16790	34.4	0.0	296.6	120.2	17.8	0.0	108.027883091	
7	825.4	2.6	50576.5	0.0	115	16215	15985	15870	12.7	0.0	258.7	121.4	17.1	0.0	107.40631018	
8	867.4	4.0	53726.2	0.0	115	17020	17020	16905	14.7	0.0	258.3	121.2	17.6	0.0	107.906219301	
9	837.5	3.9	52740.1	0.0	115	17020	17020	16905	25.4	0.0	283.3	120.5	17.7	0.0	106.906452275	
10	822.333333333	3.22222222222	51074.5555556	0.0	115	16215	16215	16100	25.5	0.0	285.6	120.8	17.8	0.0	105.826928642	
11	1046.8	7.0	68746.0	0.0	115	15640	15525	15410	92.0	0.0	405.3	118.0	45.6	0.0	111.924939562	
12	1007.6	8.6	65583.0	0.0	115	15525	15410	15295	86.3	0.0	396.5	118.0	36.4	0.0	110.760078027	
13	1064.3	8.0	70063.9	0.0	115	15755	15525	15410	98.2	0.0	403.4	118.0	40.2	0.0	111.542041257	
14	1064.1	7.3	69554.8	0.0	115	15755	15525	15410	92.9	0.0	412.9	118.0	50.0	0.0	112.651817015	
15	1077.9	7.2	70424.6	0.1	115	15755	15525	15525	92.2	0.0	412.0	118.0	49.3	0.0	111.464357665	
16	1036.33333333	7.22222222222	68787.5555556	0.0	115	15640	15525	15410	95.4	0.0	404.6	118.0	42.2	0.0	111.660336126	
17	1054.3	7.2	68714.0	0.0	115	15755	15525	15410	92.0	0.0	404.8	118.0	41.8	0.0	111.612260123	
18	1114.6	4.8	71823.9	0.0	115	15640	15525	15410	94.7	0.0	404.9	118.0	45.8	0.0	111.558861932	
19	1063.0	6.77777777778	69773.3333333	0.0	115	15870	15640	15525	93.4	0.0	408.7	118.0	44.6	0.0	111.662962255	
20	1051.3	6.2	69786.2	0.0	115	15410	15180	15065	96.4	0.0	407.3	118.0	44.8	0.0	111.860878319	
21	1082.5	6.5	70816.5	0.0	115	15525	15295	15180	93.2	0.0	405.2	118.0	41.9	0.0	111.33228861	
22	1062.3	7.5	70452.0	0.0	115	15755	15525	15410	95.9090909091	0.0	407.0	118.0	44.6363636364	0.0	112.076829599	
23	1049.0	6.33333333333	67957.3333333	0.0	115	15755	15525	15525	94.4	0.0	409.6	118.0	45.6	0.0	111.368013368	
24	1059.8	6.3	69424.2	0.0	115	15755	15525	15525	90.6	0.0	408.2	118.0	44.2	0.0	112.198788425	
25	1075.6	5.9	70486.0	0.0	115	15755	15525	15410	96.4	0.0	405.4	118.0	43.7	0.0	111.942629289	
26	1051.1	6.7	68919.4	0.0	115	15640	15410	15295	92.8	0.0	410.1	118.0	47.2	0.0	112.797664624	
27	1075.4	6.9	70824.9	0.0	115	15755	15525	15410	94.9	0.0	406.7	118.0	45.0	0.0	111.530160523	
28	1047.6	5.6	69607.4	0.0	115	15755	15525	15410	100.0	0.0	407.0	118.0	43.8	0.0	112.641956387	
29	1087.2	6.8	70391.0	0.0	115	15755	15525	15410	93.6363636364	0.0	405.636363636	118.0	39.9090909091	0.0	111.380948192	
30	1067.0	6.6	70633.3	0.0	115	15755	15640	15525	90.3	0.0	409.2	118.0	50.0	0.0	112.386807476	
31	1068.8	6.9	70365.5	0.0	115	15640	15525	15410	96.2	0.0	404.7	118.0	42.4	0.0	112.603679702	
32	1058.9	6.1	69799.4	0.0	115	15755	15525	15410	95.2	0.0	410.2	118.0	48.0	0.0	111.697736126	
33	1077.8	5.5	71174.6	0.0	115	15755	15525	15410	95.7	0.0	404.6	118.0	43.2	0.0	111.125383818	
34	1066.3	7.2	69808.3	0.0	115	15755	15525	15525	90.0	0.0	404.0	118.0	43.0	0.0	111.643159464	
35	1063.125	7.125	69910.625	0.0	115	15640	15410	15295	92.6	0.0	405.3	118.0	45.6	0.0	110.948127422	
36	1060.5	6.4	70609.3	0.0	115	15525	15410	15295	94.9	0.0	407.3	118.0	45.8	0.0	111.106949405	
37	1031.2	6.6	67344.6	0.0	115	15525	15295	15180	95.6	0.0	405.1	118.0	44.6	0.0	111.685743122	
38	1040.1	7.6	69081.2	0.0	115	15525	15295	15180	93.6	0.0	409.2	118.0	46.5	0.0	111.088971891	
39	1055.6	6.4	69540.0	0.0	115	15640	15410	15295	98.6	0.0	406.9	118.0	45.0	0.0	111.583330396	
40	1073.66666667	6.55555555556	70641.4444444	0.0	115	15295	15295	15180	95.5	0.0	407.9	118.0	45.7	0.0	111.427156943	
41	1062.54545455	6.63636363636	69792.3636364	0.0	115	15640	15410	15410	94.9	0.0	407.3	118.0	45.6	0.0	112.581824258	
42	1075.5	7.1	71156.5	0.0	115	15640	15410	15410	91.3	0.0	407.5	118.0	43.4	0.0	111.906600795	
43	1070.1	6.7	70958.0	0.0	115	15525	15525	15525	82.0	0.0	408.4	118.0	46.3	0.0	111.880080475	
44	1080.1	6.3	71237.3	0.0	115	15755	15525	15410	90.1	0.0	406.0	118.0	42.8	0.0	111.786536047	
45	1066.6	7.0	70022.3	0.0	115	15525	15410	15295	98.3	0.0	407.2	118.0	46.2	0.0	111.673366587	
46	1061.1	4.7	69811.5	0.0	115	15410	15410	15410	82.7	0.0	406.7	118.0	46.5	0.0	111.836452551	
47	1076.5	6.75	71668.75	0.0	115	15410	15295	15295	83.6	0.0	403.6	118.0	45.6	0.0	110.693856087	
48	1105.2	4.0	76384.0	0.0	115	15640	15640	15525	63.8181818182	0.0	448.272727273	114.0	54.8181818182	0.0	112.536261509	
49	1081.4	5.4	74991.8	0.0	115	15525	15525	15410	70.0	0.0	445.6	114.0	52.2	0.0	112.725420668	
50	1087.4	5.9	76270.2	0.0	115	15640	15640	15525	67.7	0.0	445.1	114.0	52.4	0.0	112.511245466	
51	1102.75	5.5	76243.5833333	0.0	115	15640	15640	15525	65.5	0.0	447.0	114.0	52.3	0.0	112.200673579	
52	827.4	1.5	51444.7	0.0	115	16215	16330	16215	8.5	0.0	329.3	121.1	26.3	0.0	105.303070677	
53	830.7	1.4	51977.8	0.0	115	16675	16790	16675	7.6	0.0	331.0	121.4	26.5	0.0	105.287860471	
54	1063.8	3.8	70481.4	0.0	115	16675	16790	16675	89.2	0.0	401.9	118.0	40.0	0.0	111.665412543	
55	834.5	1.0	52220.5	0.0	115	16560	16675	16560	4.8	0.0	331.0	121.3	26.2	0.0	105.45919524	
56	1086.5	5.1	75496.6	0.0	115	16100	16100	15985	65.9	0.0	443.9	114.0	51.2	0.0	112.137685008	
57	1077.9	5.0	75762.4	0.0	115	15755	15870	15755	67.7	0.0	443.6	114.0	50.8	0.0	112.072763389	
58	1111.5	5.4	76264.2	0.0	115	15525	15525	15410	69.3	0.0	442.6	114.0	52.4	0.0	112.637361475	
59	1092.66666667	5.22222222222	76220.5555556	0.0	115	15985	15985	15870	64.7	0.0	445.5	114.0	53.6	0.0	113.466954621	
