id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy
1	3460.7	1.0	165773.6	2.0	200	39200	39200	39800	81.7272727273	1.63636363636	1063.36363636	421.818181818	14.6363636364	492.090909091	222.109415465
2	3447.4	0.7	167127.2	2.0	200	38400	38400	38800	64.8	1.4	844.6	338.2	11.6	400.8	224.109716081
3	3571.6	1.0	167873.1	2.0	200	38200	38200	38600	81.0	1.8	1072.6	424.8	13.8	523.1	222.350120053
4	3472.5	0.7	165964.1	2.0	200	39000	39000	39400	72.9	1.4	970.4	380.7	11.9	463.2	225.645851418
5	3595.9	1.3	167905.9	2.0	200	39000	39000	39600	81.0	2.0	1080.8	427.8	13.1	506.4	225.017052659
6	3559.6	0.6	166519.8	2.0	200	38600	38800	39200	81.0	1.8	1058.9	421.0	13.9	486.6	225.121264988
7	3499.8	0.7	166176.7	2.0	200	38800	38800	39200	81.0	2.0	1075.9	427.0	13.4	493.1	224.981795091
9	3472.4	0.9	166112.7	2.0	200	38400	38400	38800	72.9	1.6	962.6	381.7	13.0	465.0	223.024860922
10	3492.0	0.5	166498.7	2.0	200	38600	38600	39000	72.9	1.6	957.7	380.0	12.9	454.4	225.80130627
11	3488.0	0.9	167474.4	2.0	200	39000	39200	39600	72.9	1.6	964.2	378.9	12.7	465.4	225.858306516
12	3482.22222222	1.33333333333	166575.666667	2.0	200	38600	38600	39000	81.0	1.4	1064.1	428.5	13.6	510.1	225.57359582
13	3476.5	1.1	166579.4	2.0	200	38600	38600	39200	81.0	2.0	1079.44444444	426.0	14.2222222222	508.0	223.36847546
14	3521.0	0.9	167881.0	2.0	200	38800	38800	39200	81.0	2.0	1071.9	421.7	14.4	494.3	223.831087771
15	3474.0	0.6	166868.0	2.0	200	38800	38800	39400	72.9	1.6	973.8	382.1	12.6	457.8	225.206212845
16	3444.7	1.1	166927.6	2.0	200	38600	38600	39200	81.0	2.0	1083.8	428.0	14.0	504.0	225.376386702
17	3528.0	0.8	168150.3	2.0	200	37800	38000	38400	81.0	1.77777777778	1071.11111111	425.222222222	15.1111111111	500.222222222	223.184943846
18	3446.9	0.7	166681.7	2.0	200	38600	38600	39000	72.9	1.8	960.8	380.4	13.5	450.7	223.468707841
19	3475.5	0.6	167068.6	2.0	200	38400	38400	39000	81.0	1.8	1075.0	429.2	14.7	515.6	226.921058017
20	3544.0	1.1	168569.9	2.0	200	38600	38600	39200	81.0	1.6	1075.6	426.2	14.4	507.1	223.68790752
21	3425.9	0.9	168046.1	2.0	200	38000	38000	38400	64.8	1.2	857.2	337.3	11.6	423.1	226.245222514
22	3493.3	0.8	166911.4	2.0	200	39000	39000	39400	81.0	2.0	1062.7	430.1	15.3	508.4	224.995477844
23	3506.7	1.0	167768.6	2.0	200	38000	38000	38400	81.0	2.0	1070.1	419.1	14.4	500.9	226.07939768
24	3509.3	0.7	168056.0	2.0	200	38000	38000	38400	81.0	1.8	1068.4	425.9	15.2	496.4	225.556724646
25	3525.54545455	0.636363636364	168723.545455	2.0	200	38400	38400	39000	80.3	1.4	1025.9	418.5	15.5	498.2	224.823947445
26	3402.2	0.7	167269.5	2.0	200	38000	38000	38400	81.0	2.0	1057.9	418.2	16.1	507.4	224.526011834
27	3578.2	0.7	169825.8	2.0	200	38600	38600	39000	72.9	1.6	961.4	381.8	14.1	450.6	224.301151712
28	3480.8	0.6	169020.0	2.0	200	38600	38600	39000	81.8	2.0	1058.2	427.9	14.9	509.8	224.793404629
29	3612.6	1.0	166628.3	2.0	200	38600	38800	39200	81.0	2.0	1064.9	425.6	32.2	513.4	226.417803355
30	3594.5	0.8	169325.6	2.0	200	38400	38400	39000	64.8	1.2	844.4	341.1	13.0	386.4	227.228907253
31	3519.8	1.2	166528.6	2.0	200	39000	39000	39400	81.0	2.0	1074.5	416.8	15.0	501.6	225.124432715
32	3501.5	1.2	168002.9	2.0	200	38000	38000	38400	72.9	1.6	954.5	375.2	13.0	455.3	226.041904288
33	3503.9	1.1	166955.4	2.0	200	38000	38000	38400	81.0	2.0	1093.8	432.1	15.0	506.8	225.815901646
34	3639.6	1.1	168897.3	2.0	200	38800	38800	39200	81.0	2.0	1062.5	420.4	14.4	498.4	228.127472211
35	3556.1	0.7	168339.7	2.0	200	37800	37800	38200	81.0	1.8	1061.9	424.1	17.7	499.0	226.018868243
36	3496.8	1.2	166861.2	2.0	200	37800	37800	38200	64.8	1.6	865.6	340.4	12.7	392.8	224.746770255
37	3532.6	1.3	170786.2	2.0	200	37600	37800	38200	81.0	1.77777777778	1080.33333333	425.111111111	17.8888888889	515.222222222	226.987604546
38	3593.9	1.5	167220.8	2.0	200	38800	38800	39200	81.0	2.0	1063.5	416.2	18.7	486.1	225.937392392
