id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	1059.25	1.25	116638.0	0.0	50	7750	7550	7200	29.3	0.0	1860.0	44.0	10.6	0.0	65.0131981225	
2	1081.0	1.28571428571	117509.285714	0.0	50	7950	7750	7400	32.1428571429	0.0952380952381	1858.28571429	44.0	10.7619047619	0.0	64.2197414526	
3	1086.65	1.4	116461.75	0.0	50	8000	7800	7400	31.85	0.05	1862.25	44.0	10.85	0.0	64.5962231529	
4	637.894736842	1.15789473684	58824.1578947	0.0	50	7950	7750	7400	26.0	0.047619047619	733.0	44.0	10.5714285714	0.0	52.2586916761	
5	623.2	1.2	57935.15	0.0	50	7800	7600	7250	26.5	0.1	736.0	44.0	10.65	0.0	54.4418726827	
6	667.75	1.55	61143.75	0.0	50	7950	7750	7400	23.85	0.0	714.95	44.0	10.25	0.0	52.9473210608	
7	607.7	1.5	55882.75	0.0	50	7950	7750	7400	23.9	0.0	844.65	44.0	10.1	0.0	53.5755547462	
8	531.1	1.3	43789.35	0.0	50	7800	7600	7300	24.7	0.0	800.1	44.0	10.25	0.0	55.6278999729	
9	629.15	1.15	53521.1	0.0	50	8000	7800	7450	23.0952380952	0.0	749.904761905	44.0	10.0952380952	0.0	54.5976256199	
10	608.0	1.47368421053	54412.8947368	0.0	50	8000	7800	7450	27.65	0.0	724.3	44.0	10.35	0.0	53.5940051544	
11	1050.7	1.05	117336.25	0.0	50	7750	7550	7250	34.1	0.2	1855.45	44.0	11.0	0.0	64.5848169042	
12	611.75	1.5	57350.4	0.0	50	8050	7850	7500	23.9	0.05	678.95	44.0	10.4	0.0	53.3816536049	
13	665.619047619	1.42857142857	63180.2857143	0.0	50	7950	7750	7400	27.55	0.1	776.2	44.0	11.1	0.0	54.2921819255	
14	641.05	1.05	57516.5	0.0	50	7850	7700	7300	27.8421052632	0.0526315789474	792.105263158	44.0	10.7368421053	0.0	54.1021838903	
15	629.15	1.6	56153.7	0.0	50	7850	7600	7250	25.15	0.0	646.2	44.0	10.35	0.0	54.7268506801	
16	647.473684211	1.15789473684	60945.4210526	0.0	50	7900	7700	7350	24.8571428571	0.047619047619	827.619047619	44.0	10.0952380952	0.0	52.3682554873	
17	700.85	1.3	64275.85	0.0	50	7900	7650	7300	24.7	0.0	653.85	44.0	10.25	0.0	55.5302296465	
18	616.35	0.75	54678.4	0.0	50	8000	7800	7400	24.45	0.05	675.7	44.0	10.45	0.0	53.31362099	
19	668.157894737	1.47368421053	64328.5789474	0.0	50	8100	7900	7500	26.25	0.1	741.2	44.0	10.9	0.0	52.9589895794	
20	655.421052632	1.42105263158	59702.9473684	0.0	50	7950	7750	7350	28.55	0.1	572.0	44.0	10.7	0.0	54.5262162925	
21	665.8	1.25	60199.6	0.0	50	7800	7600	7250	24.95	0.0	698.9	44.0	10.5	0.0	55.1742245252	
22	1070.26315789	1.15789473684	117170.526316	0.0	50	7900	7650	7300	28.85	0.0	1864.65	44.0	10.3	0.0	64.3684057248	
23	610.35	1.1	52947.4	0.0	50	7900	7650	7300	28.2	0.1	753.05	44.0	10.95	0.0	54.4963956618	
24	680.6	1.5	59266.4	0.0	50	8000	7800	7450	25.95	0.0	530.4	44.0	10.45	0.0	53.7826538421	
25	634.75	1.3	55564.55	0.0	50	8100	7900	7500	25.0952380952	0.142857142857	622.952380952	44.0	10.6666666667	0.0	52.7228017982	
26	684.25	1.3	63760.8	0.0	50	7900	7700	7300	27.1	0.05	816.3	44.0	10.5	0.0	54.9474529057	
27	664.6	1.05	58643.05	0.0	50	8000	7750	7350	32.5	0.1	716.45	44.0	10.75	0.0	52.6268249082	
28	633.5	1.25	51277.45	0.0	50	7750	7500	7150	29.3	0.0	704.7	44.0	10.4	0.0	54.1240302316	
29	670.05	1.15	61574.0	0.0	50	7750	7550	7200	30.1	0.05	586.8	44.0	10.7	0.0	53.039919065	
30	583.65	1.2	52032.75	0.0	50	7700	7500	7150	30.05	0.05	659.05	44.0	10.25	0.0	53.0611161788	
31	600.85	0.9	50629.95	0.0	50	7900	7700	7300	31.55	0.05	643.65	44.0	10.55	0.0	52.9822472868	
32	626.85	0.75	53235.95	0.0	50	7750	7550	7200	31.75	0.1	562.2	44.0	10.9	0.0	55.0460563511	
