id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	890.6	18.0	65294.2	0.0	65	10855	10985	10985	28.9	0.0	376.3	68.0	32.0	0.0	72.539585829	
2	887.3	23.9	65032.5	0.0	65	10725	10855	10855	30.3	0.0	386.6	68.0	32.4	0.0	74.5785900327	
3	899.4	25.3	65981.6	0.0	65	10725	10855	10855	30.3	0.0	373.3	68.0	32.5	0.0	74.2309432963	
4	887.3	25.1	62963.9	0.0	65	10725	10855	10855	29.0	0.0	378.272727273	68.0	31.3636363636	0.0	73.2439808545	
5	894.3	25.1	65518.7	0.0	65	10530	10660	10595	28.7	0.0	370.6	68.0	31.2	0.0	74.0792682281	
6	922.1	51.4	74883.2	0.0	65	10530	10660	10595	24.4	0.0	382.5	68.0	31.8	0.0	73.9686475216	
7	936.6	53.9	76832.4	0.0	65	10205	10335	10270	24.4	0.0	371.2	68.0	31.8	0.0	73.3525926762	
8	922.5	50.5	76237.3	0.0	65	10335	10465	10465	23.8	0.0	357.6	68.0	31.4	0.0	74.6908627687	
9	936.3	51.8	76618.0	0.0	65	10400	10530	10465	24.4	0.0	354.4	68.0	31.8	0.0	73.9887543705	
10	928.5	54.2	75916.6	0.0	65	10595	10725	10725	24.9	0.0	362.2	68.0	32.1	0.0	73.9582051607	
11	929.454545455	53.8181818182	76282.4545455	0.0	65	10660	10725	10725	25.2	0.0	369.9	68.0	32.6	0.0	73.4590410354	
12	912.9	4.8	66317.2	0.0	65	9360	9490	9425	27.6666666667	0.0	441.833333333	68.0	33.0	0.0	73.0290023801	
13	793.9	4.0	52911.8	0.0	65	9620	9685	9685	29.0909090909	0.0	320.181818182	68.0	32.0	0.0	69.8332966402	
14	780.8	4.6	53126.7	0.0	65	9685	9815	9750	32.8888888889	0.0	319.333333333	68.0	32.0	0.0	70.0720621255	
15	779.2	4.9	53232.0	0.0	65	9685	9750	9750	31.9	0.0	320.6	68.0	32.0	0.0	70.7985311263	
16	797.1	4.1	53166.1	0.0	65	9555	9620	9620	31.1	0.0	319.9	68.0	32.0	0.0	69.6400850807	
