id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	1991.63636364	1.18181818182	223649.909091	0.0	100	8900	8400	7900	28.6	0.0	172.9	19.0	27.0	0.0	118.740253917	
2	1977.09090909	0.727272727273	221376.545455	0.0	100	8900	8400	7900	25.5	0.0	174.7	19.0	27.1	0.0	116.725923496	
3	1986.7	0.7	222597.8	0.0	100	9300	8800	8300	27.6666666666	0.0	171.833333333	19.0	27.0	0.0	120.810817397	
4	2019.6	1.2	224238.9	0.0	100	9100	8600	8100	29.3	0.0	171.4	19.0	27.0	0.0	119.305756986	
5	1979.2	0.9	222368.9	0.0	100	9100	8700	8200	30.3	0.0	173.5	19.0	27.0	0.0	118.3691554	
6	1982.9	0.6	222549.1	0.0	100	9200	8700	8200	23.0	0.0	175.1	19.0	27.1	0.0	117.499240262	
7	2050.2	0.5	227356.6	0.0	100	9100	8600	8100	30.7	0.0	171.4	19.0	27.0	0.0	117.702258074	
8	1971.5	0.6	220585.6	0.0	100	9100	8700	8100	28.3	0.0	175.2	19.0	27.0	0.0	118.366781764	
9	2006.8	0.8	220380.8	0.0	100	9200	8700	8200	26.9	0.0	173.7	19.0	27.0	0.0	118.359297978	
10	1958.2	0.7	221117.2	0.0	100	8100	7700	7200	30.8	0.0	175.4	19.0	27.0	0.0	116.16539462	
11	2007.90909091	0.818181818182	221658.181818	0.0	100	9100	8600	8100	24.9	0.0	177.2	19.0	27.0	0.0	118.887711716	
12	1977.9	1.1	221907.2	0.0	100	9700	9200	8700	26.9	0.0	172.3	19.0	27.0	0.0	118.047410596	
13	2005.7	0.4	222675.6	0.0	100	8600	8100	7600	26.6	0.0	170.3	19.0	27.0	0.0	115.378962465	
14	2030.2	0.9	224872.0	0.0	100	8800	8400	7900	28.4	0.0	178.8	19.0	27.0	0.0	115.420535723	
15	2023.0	0.916666666667	224143.916667	0.0	100	9700	9200	8700	28.4	0.0	172.5	19.0	27.0	0.0	120.437541433	
16	1999.8	1.0	222458.5	0.0	100	8800	8400	7900	29.7	0.0	178.6	19.0	27.0	0.0	116.413961957	
17	2075.1	0.8	219838.8	0.0	100	8600	8200	7700	27.4	0.0	176.6	19.0	27.0	0.0	121.691168017	
18	1994.3	0.6	221707.2	0.0	100	9000	8600	8100	28.0	0.0	174.8	19.0	27.0	0.0	119.004560943	
19	1983.0	1.2	221783.5	0.0	100	8800	8300	7900	23.6	0.0	176.4	19.0	27.0	0.0	115.375364161	
20	1979.2	1.0	221261.1	0.0	100	8400	8000	7500	28.3	0.0	176.1	19.0	27.0	0.0	121.713390083	
21	1990.7	0.9	223042.4	0.0	100	8700	8300	7800	29.4	0.0	175.0	19.0	27.0	0.0	114.965827186	
22	1996.0	0.8	223325.8	0.0	100	8800	8300	7800	30.8	0.0	170.7	19.0	27.0	0.0	117.907629952	
23	2006.1	1.4	222159.3	0.0	100	9700	9200	8700	30.7	0.0	172.5	19.0	27.0	0.0	119.803732216	
24	2006.5	0.4	223678.7	0.0	100	8900	8500	8000	29.7	0.0	174.6	19.0	27.0	0.0	122.787285974	
25	1974.72727273	1.0	221453.181818	0.0	100	8900	8400	7900	24.2	0.0	176.5	19.0	27.0	0.0	118.492058537	
26	2016.5	1.0	224255.4	0.0	100	9300	8800	8300	29.2	0.0	170.6	19.0	27.2	0.0	118.804979667	
27	1981.11111111	0.444444444444	220440.555556	0.0	100	9000	8500	8000	28.5	0.0	176.8	19.0	27.0	0.0	118.491781677	
