id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	2120.8	104.8	214705.0	0.0	200	34000	34000	34400	220.555555556	25.8888888889	1763.66666667	256.222222222	61.0	5.0	247.115577774	
2	2144.6	97.0	218181.6	0.0	200	39600	34800	34400	226.9	26.2	1650.0	259.5	78.3	5.0	248.503106627	
3	2116.0	98.7	212010.2	0.0	200	33600	34200	28600	227.181818182	26.2727272727	1607.54545455	256.818181818	79.0	5.0	246.796552785	
4	2104.8	141.4	211713.6	0.0	200	38200	34200	34000	220.9	29.1	1765.5	248.3	43.0	8.7	248.409124903	
5	1874.8	134.4	191734.1	0.0	200	39200	34000	33600	225.8	30.1	1300.7	245.3	50.0	7.6	245.934393333	
6	3225.7	167.0	364215.7	0.0	200	39600	34600	34200	234.2	31.7	6932.2	245.6	50.0	9.2	267.998517143	
7	1994.9	169.4	211704.2	0.0	200	39600	34600	34200	230.636363636	31.7272727273	1274.63636364	245.181818182	50.0	9.36363636364	249.664850324	
8	1901.8	167.5	194566.2	0.1	200	39600	34800	34400	226.0	29.2222222222	1287.11111111	259.333333333	37.5555555556	9.55555555556	245.409368458	
9	1961.0	171.0	205563.0	0.0	200	32000	34000	34000	225.1	29.0	1239.4	261.2	36.0	9.7	244.810113213	
10	1898.53846154	161.076923077	194278.230769	0.0	200	32000	34200	34400	230.9	28.8	1250.1	264.3	36.0	9.8	246.363772686	
11	1961.15384615	176.384615385	209681.384615	0.0	200	32000	34000	34600	219.3	31.2	1283.3	246.6	48.6	9.9	250.666256175	
12	1949.2	173.4	207158.5	0.0	200	39600	34600	34200	217.7	30.5	1269.4	243.3	48.6	9.6	249.489654832	
