id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	6669.86666667	0.5	1918.3	22416.8	4533.86666667	214.7	0.0	0.0	27.4	1.76666666667	0.2	184502.133333	368291.066667	285.9	33584.1333333	0.0	0.0	0.0	18.9333333333	512446327.467	19522.7	4748.56666667	140	4340	4900	5040	15.2903225806	0.0967741935484	0.0	0.0	0.0	24.5483870968	0.0	28.9677419355	0.935483870968	609.838709677	814.483870968	305.129032258	0.0	2236.29032258	220.129032258	16.4193548387	0.0	309.064516129	0.0	89.4193548387	12954.3548387	0.0	0.0	0.0	115.387096774	0.0	0.0	0.0	0.0	16.1935483871	0.0	367.903225806	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.38709677419	4.74193548387	0.0	0.0	54.3548387097	0.0	0.741935483871	1341.19354839	0.0	74.6129032258	0.0	60.7419354839	1.0	19.6451612903	0.0	47.2258064516	5139.5483871	0.0	0.0	12.2903225806	421.580645161	2.96774193548	0.806451612903	2970.80645161	3.16129032258	111.096774194	0.0	0.0	0.0	0.0	120.903225806	0.0	0.0	0.0	0.709677419355	0.0	0.0	0.0	14.935483871	0.0	0.0	0.0	547.129032258	14.935483871	0.0322580645161	0.0	94.5806451613	1.0	19.6451612903	0.0	14605.0967742	0.0	10.1935483871	29.7741935484	0.0	7832.38709677	666.741935484	0.0	189.618442382	
2	6655.4	0.666666666667	1932.1	22415.0666667	4543.6	212.2	0.0	0.0	27.1	2.43333333333	0.233333333333	178742.5	368193.666667	285.2	33802.3333333	0.0	1.13333333333	0.0	18.8666666667	512387072.0	19506.2333333	4755.8	140	4200	4900	5040	15.6551724138	0.0344827586207	0.0	0.0	0.0	22.8965517241	0.0	24.0344827586	0.896551724138	602.24137931	867.310344828	300.172413793	0.0	1760.20689655	181.862068966	16.6551724138	0.0	289.344827586	0.0	68.275862069	10663.3103448	0.0	0.0	0.0	98.5517241379	0.0689655172414	0.0	0.0	0.0	16.2413793103	0.0	282.793103448	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.58620689655	5.03448275862	0.0	0.0	51.4827586207	0.0	0.896551724138	1073.17241379	0.0	61.1034482759	0.0	46.8620689655	1.13793103448	16.5517241379	0.0	37.2068965517	4046.96551724	0.0	0.0	11.4482758621	447.862068966	2.06896551724	0.862068965517	2278.62068966	2.75862068966	104.620689655	0.0	0.0	0.0	0.0	99.724137931	0.0	0.0	0.0	0.793103448276	0.0	0.0	0.0	12.8965517241	0.0	0.0	0.0	527.827586207	12.8620689655	0.103448275862	0.0	90.2068965516	1.0	16.4827586207	0.0	11309.2068966	0.0	7.44827586207	29.724137931	0.0	6138.79310345	594.586206897	0.0	189.643714108	
3	6652.34482759	0.931034482759	1921.48275862	22400.8275862	4541.44827586	216.517241379	0.0	0.0	30.7586206897	2.24137931034	0.310344827586	178051.137931	367451.586207	285.655172414	33766.6896552	0.0	0.0	0.0	18.8620689655	512375843.31	19561.0689655	4757.96551724	140	4340	4760	5040	15.6551724138	0.0689655172414	0.0	0.0	0.0	23.724137931	0.0	26.5172413793	0.931034482759	608.862068966	840.896551724	305.51724138	0.0	2053.0	205.551724138	16.3793103448	0.0	305.24137931	0.0	81.9310344828	12153.3103448	0.0	0.0	0.0	108.965517241	0.0689655172414	0.0	0.0	0.0	16.275862069	0.0	323.275862069	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.10344827586	4.8275862069	0.0	0.0	52.9655172414	0.0	0.827586206897	1240.51724138	0.0	70.0344827586	0.0	54.1379310345	1.06896551724	18.5517241379	0.0	43.5517241379	4717.86206897	0.0	0.0	11.8620689655	433.724137931	2.62068965517	0.758620689655	2727.44827586	2.96551724138	107.379310345	0.0	0.0	0.0	0.0	106.75862069	0.0	0.0	0.0	0.620689655172	0.0	0.0	0.0	14.1379310345	0.0	0.0	0.0	548.034482759	14.1724137931	0.0344827586207	0.0	91.9655172414	1.0	18.5172413793	0.0	13403.4482759	0.0	11.9310344828	29.724137931	0.0	7198.86206897	646.931034483	0.0	189.37242921	
4	6650.03225806	0.516129032258	1912.64516129	22422.4516129	4536.0	211.290322581	0.0	0.0	25.9677419355	2.25806451613	0.258064516129	179178.193548	369259.83871	285.129032258	33636.0	0.0	0.0	0.0	18.9032258065	512414488.774	19595.8709677	4747.29032258	140	4340	4900	5040	15.8666666667	0.0	0.0	0.0	0.0	24.6	0.0	28.7	0.933333333333	610.833333333	817.866666667	307.9	0.0	2201.9	220.133333333	17.3333333334	0.0	308.066666667	0.0	88.0	12800.1333333	0.0	0.0	0.0	114.933333333	0.0666666666667	0.0	0.0	0.0	17.0	0.0	311.133333333	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.33333333333	5.83333333333	0.0	0.0	55.6	0.0	0.933333333333	1324.16666667	0.0	75.6666666667	0.0	58.7	1.43333333333	19.8	0.0	46.4666666667	5060.3	0.0	0.0	12.3	424.066666667	2.5	0.933333333333	2930.03333333	3.06666666667	112.2	0.0	0.0	0.0	0.0	118.966666667	0.0	0.0	0.0	0.9	0.0	0.0	0.0	15.6666666667	0.0	0.0	0.0	548.5	15.6666666667	0.0666666666667	0.0	97.8666666666	1.0	19.7333333333	0.0	14245.6666667	0.0	6.7	29.9666666667	0.0	7687.7	666.433333333	0.0	189.185240461	
5	6654.86666667	1.03333333333	1926.33333333	22412.0	4536.2	217.7	0.0	0.0	28.2	2.23333333333	0.366666666667	182270.266667	368458.466667	285.166666667	33516.4666667	0.0	0.0	0.0	18.9333333333	512443733.333	19598.1	4753.9	140	4340	4760	4900	15.8518518518	0.0	0.0	0.0	0.0	24.3703703704	0.0	28.962962963	0.888888888889	597.0	792.148148148	296.037037037	0.0	2201.62962963	218.666666667	16.8148148148	0.0	295.074074074	0.0	88.0	12648.8148148	0.0	0.0	0.0	114.296296296	0.0740740740741	0.0	0.0	0.0	16.7777777778	0.0	348.888888889	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.33333333333	5.40740740741	0.0	0.0	54.9259259259	0.0	0.851851851852	1326.85185185	0.0	75.037037037	0.0	57.7037037037	1.37037037037	20.1111111111	0.0	46.2962962963	5065.40740741	0.0	0.0	12.1851851852	411.148148148	2.74074074074	0.851851851852	2924.40740741	3.40740740741	110.592592593	0.0	0.0	0.0	0.0	137.962962963	0.0	0.0	0.0	0.740740740741	0.0	0.0	0.0	15.5185185185	0.0	0.0	0.0	521.518518519	15.4814814815	0.037037037037	0.0	95.925925926	1.0	20.1111111111	0.0	14297.1481481	0.0	5.96296296296	29.8148148148	0.0	7662.62962963	659.333333333	0.0	190.013913816	
6	6653.23333333	0.8	1935.86666667	22413.1	4541.53333333	210.7	0.0	0.0	23.5	2.3	0.3	179692.4	370208.433333	285.166666667	33595.4666667	0.0	0.0	0.0	18.8	512303240.533	19530.5666667	4752.23333333	140	4340	4900	5040	16.0625	0.0625	0.0	0.0	0.0	23.75	0.0	27.21875	0.90625	602.9375	823.9375	300.21875	0.0	2079.65625	207.53125	16.375	0.0	298.125	0.0	82.5	12139.875	0.0	0.0	0.0	109.5625	0.125	0.0	0.0	0.0	16.59375	0.0	323.375	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.125	4.90625	0.0	0.0	53.46875	0.0	0.8125	1255.28125	0.0	70.84375	0.0	54.03125	1.1875	18.25	0.0	43.71875	4784.40625	0.0	0.0	11.875	426.4375	2.4375	0.71875	2746.46875	3.09375	107.4375	0.0	0.0	0.0	0.0	120.90625	0.0	0.0	0.0	0.6875	0.0	0.0	0.0	14.3125	0.0	0.0	0.0	533.4375	14.28125	0.03125	0.0	93.03125	1.0	18.21875	0.0	13453.625	0.0	6.0625	29.625	0.0	7296.78125	643.125	0.0	189.320226068	
7	6648.36666667	0.733333333333	1926.6	22415.6	4544.06666667	210.566666667	0.0	0.0	26.3333333333	2.46666666667	0.3	177090.5	367768.833333	286.133333333	33673.7666667	0.0	0.0	0.0	18.9333333333	512452471.467	19573.5666667	4754.63333333	140	4480	5040	5040	15.2857142857	0.107142857143	0.0	0.0	0.0	22.9642857143	0.0	24.2857142857	0.75	557.142857143	774.75	255.928571429	0.0	1808.75	184.357142857	16.8214285714	0.0	247.678571429	0.0	70.7142857143	10471.3571429	0.0	0.0	0.0	99.6785714286	0.0	0.0	0.0	0.0	15.9285714286	0.0	248.25	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.67857142857	5.21428571429	0.0	0.0	51.6071428571	0.0	0.928571428571	1088.89285714	0.0	62.9285714286	0.0	47.5357142857	1.21428571429	16.7142857143	0.0	37.8928571429	4157.5	0.0	0.0	11.5	400.285714286	2.42857142857	0.75	2361.17857143	2.67857142857	104.5	0.0	0.0	0.0	0.0	95.2142857143	0.0	0.0	0.0	0.785714285714	0.0	0.0	0.0	13.0714285714	0.0	0.0	0.0	443.75	13.0714285714	0.142857142857	0.0	89.6785714286	1.0	16.6785714286	0.0	11556.5	0.0	6.82142857143	29.8214285714	0.0	6321.67857143	576.678571429	0.0	189.444498781	
8	6639.53333333	0.8	1928.8	22421.1666667	4539.63333333	213.966666667	0.0	0.0	23.4	2.46666666667	0.266666666667	175095.5	368836.266667	285.4	33628.0	0.0	0.0	0.0	19.0666666667	512595968.0	19585.1333333	4753.6	140	4340	4900	5040	16.3225806452	0.0	0.0	0.0	0.0	25.0967741935	0.0	31.1612903226	0.903225806452	601.35483871	766.258064516	297.161290323	0.0	2428.67741935	238.967741935	16.6451612903	0.0	303.387096774	0.0	97.935483871	13735.0322581	0.0	0.0	0.0	122.290322581	0.161290322581	0.0	0.0	0.0	17.5483870968	0.0	353.548387097	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.70967741935	5.29032258065	0.0	0.0	56.2580645161	0.0	0.870967741935	1451.41935484	0.0	82.1612903226	0.0	64.5483870968	1.35483870968	21.6451612903	0.0	51.064516129	5594.16129032	0.0	0.0	12.5483870968	398.709677419	2.61290322581	0.774193548387	3251.87096774	3.48387096774	113.064516129	0.0	0.0	0.0	0.0	140.451612903	0.0	0.0	0.0	0.709677419355	0.0	0.0	0.0	16.7419354839	0.0	0.0	0.0	529.967741935	16.6774193548	0.0	0.0	98.7741935483	1.0	21.6129032258	0.0	15789.0967742	0.0	9.51612903226	29.8387096774	0.0	8488.58064516	690.096774194	0.0	189.138251459	
9	6643.8	0.733333333333	1926.06666667	22410.0	4539.4	217.133333333	0.0	0.0	26.3666666667	1.96666666667	0.4	174928.533333	367647.666667	285.5	33697.3666667	0.0	0.0	0.0	18.7666666667	512276070.4	19546.1	4756.53333333	140	4480	4900	5040	16.2413793103	0.0	0.0	0.0	0.0	22.9310344828	0.0	23.5172413793	0.862068965517	592.034482759	846.517241379	292.034482759	0.0	1768.48275862	181.862068966	17.1724137931	0.0	279.379310345	0.0	68.275862069	10560.8275862	0.0	0.0	0.0	98.3448275862	0.137931034483	0.0	0.0	0.0	16.5172413793	0.0	278.206896552	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.58620689655	5.51724137931	0.0	0.0	52.2413793103	0.0	0.896551724138	1076.51724138	0.0	62.2413793103	0.0	45.0	1.44827586207	16.7586206897	0.0	36.8965517241	4070.13793103	0.0	0.0	11.4827586207	438.517241379	2.13793103448	0.827586206897	2284.20689655	2.62068965517	104.965517241	0.0	0.0	0.0	0.0	89.8620689655	0.0	0.0	0.0	0.862068965517	0.0	0.0	0.0	13.1379310345	0.0	0.0	0.0	507.586206897	13.0689655172	0.0	0.0	91.1034482758	1.0	16.6896551724	0.0	11265.4137931	0.0	6.72413793103	29.8965517241	0.0	6209.96551724	594.724137931	0.0	189.626577685	
10	6665.56666667	0.866666666667	1908.4	22412.0666667	4545.46666667	213.766666667	0.0	0.0	23.5333333333	2.0	0.3	178143.5	368533.966667	285.333333333	33752.6333333	0.0	0.0	0.0	18.8	512318668.8	19564.8666667	4759.23333333	140	4200	4760	5040	15.4	0.0666666666667	0.0	0.0	0.0	23.8	0.0	27.3666666667	0.933333333333	609.166666667	833.566666667	305.766666667	0.0	2107.43333333	209.0	16.4	0.0	305.966666667	0.0	83.6	12347.7333333	0.0	0.0	0.0	110.3	0.0	0.0	0.0	0.0	16.0333333333	0.0	310.866666667	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.16666666667	4.86666666667	0.0	0.0	53.3666666667	0.0	0.766666666667	1268.56666667	0.0	71.3	0.0	56.9666666667	1.06666666667	18.7666666667	0.0	44.5333333333	4838.43333333	0.0	0.0	11.9333333333	430.4	2.63333333333	0.766666666667	2779.96666667	2.96666666667	107.6	0.0	0.0	0.0	0.0	112.833333333	0.0	0.0	0.0	0.7	0.0	0.0	0.0	14.5	0.0	0.0	0.0	546.166666667	14.5333333333	0.0333333333333	0.0	91.9666666667	1.0	18.7666666667	0.0	13654.1666667	0.0	7.8	29.5	0.0	7389.23333333	647.333333333	0.0	188.846378436	
