id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	855.2	0.8	494.0	24749.3	176.4	64.9	0.0	0.0	40.5	0.2	0.0	30832.8	51564.6	259.7	9932.6	0.0	0.0	0.0	15.9	500946944.0	9124.0	241.3	115	16560	16675	16560	79.0	0.0	0.0	0.0	0.0	36.6	0.0	30.6	2.0	613.5	751.5	424.6	0.0	1557.9	164.7	6.6	0.0	331.9	0.0	121.3	4842.8	0.0	0.0	0.0	129.4	0.0	0.0	0.0	0.0	22.5	0.0	528.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	11.8	3.5	0.0	0.0	83.3	0.0	1.0	1170.7	0.0	47.6	0.0	8.9	0.0	13.0	0.0	26.8	3363.6	0.0	0.0	18.3	483.0	2.4	0.0	118.4	3.0	150.9	0.0	0.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.0	535.4	10.1	0.1	0.0	134.2	1.0	13.0	0.0	4259.0	0.0	2.7	13.3	0.0	5989.3	911.4	0.0	105.445885127	
2	835.1	1.1	514.3	24804.8	173.1	68.1	0.0	0.0	26.0	1.0	0.0	31075.6	51733.7	259.7	9954.9	0.0	0.0	0.0	15.9	500943257.6	9135.1	241.2	115	16560	16560	16445	66.1	0.0	0.0	0.0	0.0	37.2	0.0	29.4	2.0	608.6	745.7	414.9	0.0	1575.8	160.6	6.6	0.0	330.7	0.0	121.4	4835.1	0.0	0.0	0.0	120.5	0.0	0.0	0.0	0.0	21.7	0.0	602.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	11.2	3.5	0.0	0.0	74.7	0.0	1.0	1177.2	0.0	47.1	0.0	8.1	0.1	12.9	0.0	26.2	3396.2	0.0	0.0	18.6	481.3	2.6	0.2	122.2	3.0	152.2	0.0	0.0	0.0	0.0	18.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	527.1	9.6	0.0	0.0	132.1	1.0	12.9	0.0	4393.3	0.0	6.7	13.7	0.0	6600.0	874.0	0.0	106.44461442	
3	828.1	1.3	501.7	24814.3	170.8	67.9	0.0	0.0	35.8	0.4	0.0	30885.0	51634.8	259.5	9918.8	0.0	0.0	0.0	15.8	501741568.0	9350.0	238.7	115	16675	16675	16560	73.8	0.1	0.0	0.0	0.0	37.4	0.0	30.2	2.0	612.2	756.2	420.0	0.0	1537.5	164.4	7.4	0.0	331.5	0.0	121.4	4845.4	0.0	0.0	0.0	126.2	0.0	0.0	0.0	0.0	22.2	0.0	545.9	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	11.6	3.7	0.0	0.0	80.1	0.0	1.0	1165.1	0.0	47.6	0.0	9.0	0.2	12.7	0.0	26.6	3318.1	0.0	0.0	18.7	482.6	3.1	0.2	123.6	3.0	154.6	0.0	0.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	539.7	10.3	0.0	0.0	135.0	1.0	12.7	0.0	4282.1	0.0	2.9	15.0	0.0	6373.6	896.2	0.0	104.92491442	
4	839.8	1.3	502.4	24795.0	171.5	62.7	0.0	0.0	28.1	0.6	0.0	30759.1	51368.1	259.6	9769.1	0.0	0.0	0.0	15.8	499949158.4	8896.8	234.2	115	16560	16675	16445	68.6	0.2	0.0	0.0	0.0	35.8	0.0	29.7	2.0	608.2	747.5	412.4	0.0	1524.5	162.5	4.9	0.0	329.7	0.0	121.3	4743.5	0.0	0.0	0.0	120.6	0.0	0.0	0.0	0.0	21.2	0.0	593.5	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	11.2	3.5	0.0	0.0	75.1	0.0	1.0	1142.5	0.0	48.3	0.0	8.7	0.1	13.8	0.0	25.9	3293.4	0.0	0.0	17.9	480.4	3.4	0.1	115.4	2.8	146.4	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1	0.0	0.0	0.0	532.3	10.7	0.1	0.0	129.3	1.0	13.8	0.0	4362.4	0.0	2.7	10.9	0.0	5975.1	882.9	0.0	105.538623789	
5	821.545454545	3.45454545455	468.545454545	24934.3636364	190.545454545	60.7272727273	0.0	0.0	36.7272727273	0.0909090909091	0.0	30072.3636364	49210.2727273	257.272727273	13141.1818182	0.0	0.0	0.0	15.6363636364	508815918.545	10431.7272727	251.272727273	115	16790	16790	16675	75.0	0.0	0.0	0.0	0.8	121.2	0.0	57.2	2.8	621.8	705.7	516.9	0.0	1590.8	223.0	28.4	0.0	284.9	0.0	120.5	4524.2	0.0	0.0	0.0	174.5	0.0	0.0	0.0	0.0	60.3	0.0	527.2	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	9.4	8.8	0.0	0.0	148.6	0.0	1.8	1206.1	0.0	61.0	0.0	19.5	0.3	12.9	0.0	18.2	3436.2	0.0	0.0	60.6	499.7	2.2	0.3	367.5	2.5	458.5	0.0	0.0	0.0	0.0	62.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.8	0.0	0.0	511.0	40.6	0.0	0.0	374.5	1.0	12.9	0.0	4063.1	0.0	3.8	63.6	0.0	6354.9	908.3	0.0	107.608814877	
6	855.4	4.1	467.6	24826.6	220.1	67.0	0.0	0.0	54.3	0.2	0.0	31694.4	52477.2	258.6	13804.7	0.0	0.1	0.0	15.9	505455001.6	9725.9	287.1	115	16905	16905	16790	69.9	0.0	0.0	0.0	1.2	141.6	0.0	59.3	2.7	681.2	755.2	565.3	0.0	1724.4	246.4	34.4	0.0	296.6	0.0	120.2	4889.9	0.0	0.0	0.0	189.9	0.0	0.0	0.0	0.0	69.0	0.0	548.2	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	9.4	9.3	0.0	0.0	163.3	0.0	1.7	1283.2	0.0	71.7	0.0	20.3	0.2	12.9	0.0	17.8	3713.5	0.0	0.0	70.8	548.5	3.0	0.2	420.0	2.8	535.1	0.0	0.0	0.0	0.0	74.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7	1.2	0.0	0.0	566.9	44.3	0.0	0.0	430.3	1.0	12.9	0.0	4280.3	0.0	3.9	79.7	0.0	7086.4	907.7	0.0	108.027883091	
7	825.4	2.6	468.8	24884.2	189.2	59.9	0.0	0.0	45.9	0.4	0.1	30382.3	50576.5	257.5	13002.8	0.0	0.0	0.0	15.4	508203417.6	10339.1	249.1	115	16215	15985	15870	83.0	0.0	0.0	0.0	0.0	72.8	0.0	45.8	3.0	486.7	583.5	408.6	0.0	1319.9	151.6	12.7	0.0	258.7	0.0	121.4	3720.5	0.0	0.0	0.0	134.8	0.0	0.0	0.0	0.0	39.1	0.0	531.3	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	8.0	6.8	0.0	0.0	112.0	0.0	2.0	1053.4	0.0	34.8	0.0	16.7	0.3	10.5	0.0	17.1	2881.2	0.0	0.0	36.4	394.0	1.2	0.3	232.2	1.6	280.1	0.0	0.0	0.0	0.0	43.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	375.1	18.3	0.1	0.0	237.9	1.1	10.5	0.0	3704.1	0.0	1.4	27.0	0.0	5300.3	862.3	0.0	107.40631018	
8	867.4	4.0	482.5	24779.2	228.4	69.9	0.0	0.0	57.1	0.1	0.0	31658.7	53726.2	259.3	13908.3	0.0	0.0	0.0	16.2	508082176.0	10362.0	298.3	115	17020	17020	16905	83.0	0.0	0.0	0.0	0.0	76.8	0.0	46.3	3.0	488.3	587.3	408.4	0.0	1333.6	154.1	14.7	0.0	258.3	0.0	121.2	3734.4	0.0	0.0	0.0	138.3	0.0	0.0	0.0	0.0	40.7	0.0	533.4	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.4	7.0	0.0	0.0	114.8	0.0	2.0	1057.3	0.0	35.8	0.0	18.7	0.2	11.0	0.0	17.6	2909.5	0.0	0.0	38.4	393.6	1.6	0.3	244.8	1.9	294.4	0.0	0.0	0.0	0.0	44.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.0	376.2	19.5	0.0	0.0	248.3	1.0	11.0	0.0	3688.2	0.0	0.0	31.5	0.0	5322.8	861.9	0.0	107.906219301	
9	837.5	3.9	484.3	24876.7	200.2	64.2	0.0	0.0	46.9	0.4	0.1	31269.2	52740.1	257.9	11463.0	0.0	0.0	0.0	15.7	506192691.2	10221.1	264.4	115	17020	17020	16905	68.3	0.2	0.0	0.0	0.8	97.0	0.0	23.4	2.8	594.2	689.1	476.2	0.0	1574.2	188.2	25.4	0.0	283.3	0.0	120.5	4305.2	0.0	0.0	0.0	156.1	0.0	0.0	0.0	0.0	48.4	0.0	508.2	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	9.0	6.4	0.0	0.0	126.9	0.0	1.8	1180.7	0.0	47.8	0.0	7.9	0.2	11.9	0.0	17.7	3401.7	0.0	0.0	48.5	481.0	2.0	0.2	288.7	3.2	371.6	0.0	0.0	0.0	0.0	20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.8	0.0	0.0	473.4	21.5	0.1	0.0	298.3	1.0	11.9	0.0	3879.9	0.0	0.0	58.4	0.0	6374.3	880.4	0.0	106.906452275	
10	822.333333333	3.22222222222	471.333333333	24870.2222222	185.666666667	62.2222222222	0.0	0.0	37.6666666667	0.555555555556	0.0	30549.3333333	51074.5555556	257.666666667	11186.8888889	0.0	0.0	0.0	15.3333333333	504669525.333	9655.44444444	247.888888889	115	16215	16215	16100	67.8	0.0	0.0	0.0	0.8	96.0	0.0	23.1	2.8	594.5	693.2	480.6	0.0	1552.4	185.6	25.5	0.0	285.6	0.0	120.8	4210.6	0.0	0.0	0.0	154.8	0.0	0.0	0.0	0.0	47.8	0.0	490.3	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	9.0	6.4	0.0	0.0	125.8	0.0	1.8	1168.0	0.0	47.3	0.0	9.3	0.1	12.0	0.0	17.8	3345.8	0.0	0.0	48.0	482.0	1.4	0.1	284.2	3.1	370.0	0.0	0.0	0.0	0.0	18.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.8	0.0	0.0	473.7	21.0	0.0	0.0	295.2	1.0	12.0	0.0	3922.9	0.0	3.6	58.3	0.0	6263.6	876.0	0.0	105.826928642	
