id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	1251.6	71.2	638.7	18785.8	505.2	154.3	0.0	0.0	287.8	0.8	3.3	66762.1	88215.0	228.9	19625.5	0.0	6.6	0.0	41.6	607988940.8	15806.8	659.5	90	13590	13680	13680	263.5	0.0	8.0	0.0	6.0	0.0	0.0	84.2	2.1	2940.8	9056.7	4687.7	10.0	2888.5	1462.8	63.0	33.0	857.2	0.0	199.4	46648.0	1.0	30.4	15.4	414.3	0.0	10.0	0.0	3.0	36.1	0.0	324.0	9.0	0.0	0.0	0.0	0.0	0.0	31.5	119.7	17.7	88.9	8.9	0.0	0.0	252.3	25.4	52.3	1766.7	27.3	43.1	0.0	12.4	6.5	38.1	0.9	64.2	6286.8	1.0	0.0	0.0	2243.6	3.5	1.0	1001.7	2.2	664.5	0.0	0.0	0.0	0.0	30.9	0.0	0.0	61.3	14.3	10.4	0.0	0.0	33.8	7.0	0.0	0.0	5240.8	37.9	6.0	3.0	415.6	1.3	38.1	0.0	4703.1	1.9	2.6	271.5	18.8	14013.5	959.6	0.0	101.068203344	
2	1394.8	88.4	685.2	18586.0	539.6	168.3	0.0	0.0	277.1	0.4	5.8	70586.1	94638.4	251.1	20555.7	0.0	6.9	0.0	41.5	618285056.0	15930.5	707.9	90	13590	13680	13680	278.1	0.1	8.1	0.0	6.0	0.0	0.0	76.6	2.6	2729.9	8309.4	3814.1	10.0	2865.0	1476.2	65.1	33.0	610.8	0.0	200.7	43115.8	1.0	31.8	19.2	424.8	0.0	10.0	0.0	3.0	34.2	0.0	316.8	9.0	0.0	0.0	0.0	0.0	0.0	35.3	133.4	20.1	116.2	7.9	0.0	0.0	251.1	26.7	54.3	1754.2	31.0	41.7	0.0	13.9	5.8	38.4	0.3	67.2	6186.8	1.0	0.0	0.0	2030.2	2.7	1.0	1119.1	2.0	722.2	0.0	0.0	0.0	0.0	29.8	0.0	0.0	89.4	16.4	9.4	0.0	0.0	33.6	7.0	0.0	0.0	4597.5	37.7	6.0	3.0	412.3	1.8	38.4	0.0	4349.6	1.3	0.3	307.0	19.0	14481.4	867.9	0.0	100.332370477	
3	1390.8	85.9	661.0	18588.6	547.4	160.5	0.0	0.0	305.2	0.6	6.5	66912.1	90449.9	247.5	20371.1	0.0	0.7	0.0	41.0	621172736.0	15997.2	707.9	90	13860	13950	13950	239.2	0.0	7.2	0.0	5.4	0.0	0.0	73.5	1.8	2586.6	7874.3	3928.3	9.0	2522.6	1316.5	57.8	29.7	690.1	0.0	179.6	40741.9	0.9	27.1	14.0	368.1	0.0	9.0	0.0	2.7	33.0	0.0	288.2	8.1	0.0	0.0	0.0	0.0	0.0	28.0	106.9	16.6	86.2	8.0	0.0	0.0	223.8	23.1	47.3	1548.7	23.5	37.6	0.0	13.1	6.1	34.4	0.6	58.5	5484.9	0.9	0.0	0.0	1951.9	2.8	0.9	937.6	1.8	605.2	0.0	0.0	0.0	0.0	26.1	0.0	0.0	64.2	13.9	9.8	0.0	0.0	30.5	6.3	0.0	0.0	4455.9	34.6	5.4	2.7	371.1	1.3	34.4	0.0	4095.9	1.5	3.5	254.6	16.8	12599.1	815.0	0.0	101.353681748	
4	1566.4	110.3	730.7	18422.7	567.1	172.3	0.0	0.0	211.4	0.2	6.8	73589.5	100451.5	280.8	20728.9	0.0	3.2	0.0	40.5	620465356.8	16117.8	739.4	90	13860	13950	13950	274.0	0.0	9.7	0.0	6.0	0.0	0.0	84.3	2.3	2679.5	8104.0	3895.5	10.0	2895.4	1479.8	64.4	33.0	559.6	0.0	201.6	41992.6	1.0	30.5	15.6	427.4	0.0	10.0	0.0	3.0	35.6	0.0	319.3	10.0	0.0	0.0	0.0	0.0	0.0	30.4	117.1	18.2	94.6	8.7	0.0	0.0	252.9	27.6	53.3	1770.9	27.1	44.0	0.0	13.4	6.3	39.3	0.6	76.3	6288.4	1.0	0.0	0.0	1973.3	3.3	1.0	1049.4	2.1	671.8	0.0	0.0	0.0	0.0	31.5	0.0	0.0	72.5	14.5	10.6	0.0	0.0	34.4	7.0	0.0	0.0	4450.7	38.6	7.0	3.0	409.6	1.4	39.3	0.0	4335.6	1.6	1.9	284.2	19.4	13968.6	915.9	0.0	101.179192786	
5	1688.3	130.6	712.5	18273.1	583.0	158.3	0.0	0.0	223.6	0.3	8.0	77571.1	103006.2	298.1	21122.1	0.0	1.4	0.0	39.5	619534336.0	16226.0	741.3	90	13950	13950	14040	260.2	0.0	9.5	0.0	6.0	0.0	0.0	87.0	2.1	2882.3	8901.6	4304.9	10.0	2878.8	1489.9	63.2	33.0	766.2	0.0	200.7	45939.0	1.0	31.4	17.7	441.6	0.0	10.0	0.0	3.0	36.6	0.0	320.3	10.0	0.0	0.0	0.0	0.0	0.0	33.8	129.0	18.5	107.0	8.9	0.0	0.0	256.3	26.7	53.5	1765.9	27.9	44.8	0.0	14.6	6.6	39.1	0.6	76.9	6263.4	1.0	0.0	0.0	2178.8	3.0	1.0	1052.2	2.3	700.7	0.0	0.0	0.0	0.0	31.9	0.0	0.0	76.4	15.8	11.0	0.0	0.0	34.4	7.0	0.0	0.0	5033.8	38.5	7.0	3.0	416.7	1.4	39.1	0.0	4564.1	1.6	0.6	289.8	19.1	14008.9	934.7	0.0	101.434228738	
6	1516.7	111.6	693.6	18419.0	562.2	159.0	0.0	0.0	293.4	0.4	7.5	73216.5	97238.0	282.0	20871.5	0.0	17.9	0.0	40.7	617408102.4	15895.9	721.2	90	13860	13950	13950	233.6	0.0	8.6	0.0	5.4	0.0	0.0	74.7	2.4	2919.4	9165.2	4222.1	9.0	2599.9	1344.1	57.5	29.7	1009.9	0.0	181.2	47096.5	0.9	29.1	15.7	405.3	0.0	9.0	0.0	2.7	30.2	0.0	287.3	9.0	0.0	0.0	0.0	0.0	0.0	30.2	116.2	19.3	98.9	7.0	0.0	0.0	232.7	24.6	49.5	1592.7	26.6	39.0	0.0	14.4	5.0	34.9	0.3	74.0	5612.3	0.9	0.0	0.0	2282.0	3.6	0.9	1003.4	1.9	645.5	0.0	0.0	0.0	0.0	26.1	0.0	0.0	77.2	15.4	8.2	0.0	0.0	30.5	6.3	0.0	0.0	5385.8	34.1	6.3	2.7	374.1	1.5	34.9	0.0	4391.0	1.2	2.4	279.0	17.6	13184.7	807.0	0.0	101.136750626	
7	1458.4	98.8	677.4	18600.2	536.9	157.7	0.0	0.0	225.7	0.6	6.8	70114.5	92880.0	271.9	20452.2	0.0	4.1	0.0	41.8	618862592.0	16010.9	694.6	90	13770	13770	13860	261.0	0.0	8.6	0.0	6.0	0.0	0.0	87.8	2.4	2728.5	8091.8	4133.4	10.0	2811.9	1456.7	63.1	33.0	626.6	0.0	197.4	42009.4	1.0	29.6	14.3	421.5	0.0	10.0	0.0	3.0	37.0	0.0	322.3	10.0	0.0	0.0	0.0	0.0	0.0	30.9	114.1	17.7	84.4	9.2	0.0	0.0	248.7	23.4	53.1	1725.6	26.9	44.8	0.0	15.5	6.8	38.4	0.8	75.7	6140.7	1.0	0.0	0.0	2022.1	3.5	1.0	997.6	2.3	655.3	0.0	0.0	0.0	0.0	32.3	0.0	0.0	58.3	14.2	11.6	0.0	0.0	33.6	7.0	0.0	0.0	4525.6	37.8	7.3	3.0	412.7	1.2	38.4	0.0	4421.8	1.8	2.0	270.1	17.4	13918.3	931.7	0.0	101.076538927	
8	1341.8	87.6	643.7	18733.0	536.9	156.7	0.0	0.0	224.5	0.6	5.5	66441.6	88565.8	258.4	20236.1	0.0	1.2	0.0	41.3	621443481.6	15963.5	693.6	90	14040	14130	14130	275.8	0.0	9.0	0.0	6.0	0.0	0.0	83.2	2.4	2860.5	8736.9	3937.7	10.0	2797.8	1455.9	64.9	33.2	743.0	0.0	198.8	45031.3	1.0	28.9	15.9	421.5	0.0	10.0	0.0	3.0	33.9	0.0	316.9	10.0	0.0	0.0	0.0	0.0	0.0	29.1	117.4	19.3	99.6	7.9	0.0	0.0	246.8	24.8	52.0	1725.9	27.9	44.1	0.0	15.6	5.7	37.6	0.3	77.5	6055.4	1.0	0.0	0.0	2164.1	3.8	1.0	1045.9	2.2	672.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	76.9	15.1	9.0	0.0	0.0	33.2	7.0	0.0	0.0	4958.8	37.3	7.1	3.0	407.6	1.9	37.6	0.0	4440.6	1.3	4.2	282.3	18.6	13953.1	881.4	0.0	101.025438801	
9	1426.2	87.6	660.7	18653.7	543.2	158.6	0.0	0.0	236.0	0.5	6.4	70443.5	91162.9	262.9	20270.2	0.0	6.8	0.0	41.4	622073036.8	15992.2	701.8	90	13860	13950	13950	260.1	0.0	7.7	0.0	6.0	0.0	0.0	91.7	2.4	2935.2	8895.2	4487.7	10.0	2795.3	1463.1	62.5	33.0	816.0	0.0	194.7	45828.3	1.0	28.6	17.0	423.1	0.0	10.0	0.0	3.0	35.1	0.0	321.6	10.0	0.0	0.0	0.0	0.0	0.0	34.4	121.0	18.5	96.6	8.3	0.0	0.0	244.7	20.7	52.2	1728.9	28.7	46.3	0.0	15.2	6.1	37.5	0.6	77.3	6062.6	1.0	0.0	0.0	2230.3	3.7	1.0	1024.4	2.2	674.0	0.0	0.0	0.0	0.0	31.7	0.0	0.0	64.1	15.0	9.8	0.0	0.0	32.8	7.0	0.0	0.0	5106.3	37.0	7.0	3.0	411.1	1.4	37.5	0.0	4638.0	1.8	2.6	274.0	16.2	13893.6	914.7	0.0	101.701002561	
10	1389.9	99.3	726.2	18558.7	548.5	175.4	0.0	0.0	252.3	0.5	7.3	71326.4	98082.0	260.0	20254.6	0.0	4.4	0.0	41.7	622004633.6	15903.3	723.9	90	13950	14040	14040	264.7	0.0	8.2	0.0	6.0	0.0	0.0	96.5	2.1	2988.9	9130.2	4653.5	10.0	2846.0	1453.3	62.5	33.0	881.6	0.0	196.6	46920.1	1.0	28.0	14.7	419.9	0.0	10.0	0.0	3.0	36.5	0.0	324.2	10.0	0.0	0.0	0.0	0.0	0.0	30.0	112.1	17.9	86.5	8.7	0.0	0.0	250.2	22.7	53.1	1757.0	25.2	47.2	0.0	15.5	6.3	38.3	0.7	76.2	6201.7	1.0	0.0	0.0	2288.6	3.7	1.0	1020.7	2.1	660.5	0.0	0.0	0.0	0.0	30.4	0.0	0.0	64.3	14.2	10.2	0.0	0.0	33.7	7.0	0.0	0.0	5329.6	37.8	7.0	3.0	414.0	1.4	38.3	0.0	4750.3	1.8	1.2	276.5	17.0	14153.0	957.1	0.0	100.960847054	
