id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	583.75	0.875	487.625	15952.75	165.25	97.75	0.0	0.0	18.625	0.375	0.25	27120.75	51645.625	107.75	10779.0	0.0	0.0	0.0	15.0	498348032.0	10431.5	263.0	70	2800	3010	3010	34.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	30.3333333333	2.0	608.666666667	608.666666667	327.666666666	0.0	2144.0	213.0	0.0	0.0	243.666666667	0.0	20.0	4393.66666667	0.0	0.0	0.0	113.333333333	0.0	0.0	0.0	0.0	3.33333333333	0.0	563.333333333	0.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0	0.0	11.3333333333	0.0	0.0	0.0	39.3333333333	0.0	1.0	1424.66666667	0.0	106.333333333	0.0	10.6666666667	0.0	19.3333333333	0.0	39.0	4578.66666667	0.0	0.0	0.0	444.0	3.66666666667	0.0	5.0	3.0	9.66666666667	0.0	0.0	0.0	0.0	25.6666666667	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	608.666666667	7.0	0.0	0.0	35.3333333334	1.0	19.3333333333	0.0	4735.33333333	0.0	9.0	0.0	0.0	8015.0	910.0	0.0	58.0665287317	
2	592.8	0.4	480.0	15999.4	167.2	94.4	0.0	0.0	13.4	0.8	0.0	26926.2	51281.4	107.4	10835.6	0.0	0.0	0.0	15.2	498667520.0	10507.4	261.6	70	2870	3010	3010	39.0	0.0	0.0	0.0	0.0	0.0	0.0	30.8	2.0	615.8	603.2	342.0	0.0	2211.8	218.4	0.0	0.0	246.2	0.0	20.0	4537.4	0.0	0.0	0.0	118.8	0.0	0.0	0.0	0.0	5.0	0.0	574.4	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	0.0	0.0	0.0	44.8	0.0	1.0	1459.8	0.0	107.0	0.0	7.4	0.0	19.8	0.0	40.0	4760.8	0.0	0.0	0.0	446.8	3.8	0.0	5.0	3.0	12.0	0.0	0.0	0.0	0.0	22.8	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	604.2	7.0	0.0	0.0	39.2	1.0	19.8	0.0	4886.8	0.0	9.0	0.0	0.0	8161.0	1020.0	0.0	58.2995694887	
3	598.25	1.25	487.5	15938.0	174.0	99.0	0.0	0.0	13.0	0.25	0.0	26242.0	51686.25	108.0	10915.0	0.0	0.0	0.0	15.0	498502656.0	10531.75	273.0	70	2800	3010	3080	39.0	0.4	0.0	0.0	0.0	0.0	0.0	32.4	2.0	616.0	593.0	343.2	0.0	2247.6	217.0	0.0	0.0	245.8	0.0	20.0	4814.6	0.0	0.0	0.0	122.2	0.0	0.0	0.0	0.0	5.0	0.0	571.8	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	0.0	0.0	0.0	48.2	0.0	1.0	1483.2	0.0	107.0	0.0	8.6	0.0	19.6	0.0	40.0	4825.4	0.0	0.0	0.0	446.6	3.6	0.0	5.0	3.6	12.0	0.0	0.0	0.0	0.0	37.4	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	592.6	7.0	0.0	0.0	44.6	1.0	19.6	0.0	4909.6	0.0	22.4	0.0	0.0	8434.4	1021.4	0.0	57.8069402012	
4	601.5	1.0	483.666666667	15939.0	175.166666667	100.666666667	0.0	0.0	20.6666666667	0.333333333333	0.0	29182.8333333	50943.8333333	107.666666667	10996.0	0.0	0.0	0.0	15.0	498274304.0	10476.6666667	275.833333333	70	2870	3010	3080	38.75	0.0	0.0	0.0	0.0	0.0	0.0	31.75	2.0	619.0	585.25	351.5	0.0	2277.25	220.75	0.0	0.0	245.75	0.0	20.0	4918.5	0.0	0.0	0.0	121.75	0.5	0.0	0.0	0.0	6.0	0.0	571.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	11.5	0.25	0.0	0.0	48.25	0.0	1.0	1504.0	0.0	107.0	0.0	11.25	0.5	20.25	0.0	39.5	4866.0	0.0	0.0	0.0	451.25	3.75	0.0	6.25	4.0	10.75	0.0	0.0	0.0	0.0	51.5	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.5	0.0	0.0	0.0	584.75	7.5	0.0	0.0	52.5	1.0	20.0	0.0	4820.0	0.0	10.0	0.0	0.0	8652.5	969.5	0.0	58.1415544876	
5	601.0	0.428571428571	486.142857143	15958.4285714	183.0	94.0	0.0	0.0	16.0	0.571428571429	0.0	28049.8571429	51392.1428571	108.0	11020.7142857	0.0	0.0	0.0	14.7142857143	498015670.857	10477.8571429	277.0	70	2730	2940	2940	36.6	0.0	0.0	0.0	0.0	0.0	0.0	31.2	2.0	609.6	595.4	349.2	0.0	2234.6	213.4	0.0	0.0	244.8	0.0	20.0	4909.6	0.0	0.0	0.0	121.2	0.0	0.0	0.0	0.0	4.2	0.0	570.2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	11.2	0.0	0.0	0.0	47.4	0.0	1.0	1483.8	0.0	106.4	0.0	10.4	0.0	19.2	0.0	39.2	4773.8	0.0	0.0	0.0	444.6	3.8	0.0	5.0	4.0	10.2	0.0	0.0	0.0	0.0	49.4	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.8	0.0	0.0	0.0	595.6	6.8	0.0	0.0	49.4	1.0	19.2	0.0	4818.4	0.0	14.4	0.0	0.0	8434.6	978.4	0.0	57.8434340068	
6	599.0	1.33333333333	478.333333333	15985.6666667	180.0	93.0	0.0	0.0	11.0	1.0	0.0	28964.3333333	51896.3333333	107.333333333	10938.3333333	0.0	0.0	0.0	15.0	498327552.0	10479.3333333	273.0	70	2800	3010	3010	32.75	0.0	0.0	0.0	0.0	0.0	0.0	30.25	2.0	606.0	590.0	337.75	0.0	2297.0	210.5	0.0	0.0	244.25	0.0	20.0	4887.75	0.0	0.0	0.0	116.25	0.0	0.0	0.0	0.0	2.5	0.0	563.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	42.25	0.0	1.0	1502.5	0.0	106.0	0.0	9.0	0.0	19.75	0.0	38.5	4898.25	0.0	0.0	0.0	443.5	3.5	0.0	5.0	4.0	8.5	0.0	0.0	0.0	0.0	49.25	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	589.5	7.0	0.0	0.0	45.25	1.25	19.75	0.0	4716.5	0.0	9.75	0.0	0.0	8684.25	908.5	0.0	57.7014820096	
7	598.4	0.6	474.8	15948.6	178.4	97.6	0.0	0.0	8.2	0.4	0.0	27753.0	51362.4	107.2	11076.2	0.0	0.0	0.0	15.0	498303795.2	10488.6	276.0	70	2800	2940	3010	33.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8333333333	2.0	608.5	599.333333333	341.0	0.0	2286.0	212.5	0.0	0.0	244.666666667	0.0	20.0	4909.83333333	0.0	0.0	0.0	115.833333333	0.0	0.0	0.0	0.0	2.66666666667	0.0	565.833333333	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	41.6666666667	0.0	1.0	1504.66666667	0.0	105.833333333	0.0	10.1666666667	0.0	19.3333333333	0.0	38.6666666667	4870.16666667	0.0	0.0	0.0	445.0	4.0	0.0	5.0	4.0	8.5	0.0	0.0	0.0	0.0	46.5	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.83333333333	0.0	0.0	0.0	597.0	6.83333333333	0.0	0.0	45.3333333334	1.0	19.3333333333	0.0	4736.83333333	0.0	10.3333333333	0.0	0.0	8593.16666667	915.0	0.0	59.2393284016	
8	600.166666667	0.666666666667	469.666666667	15980.8333333	182.5	92.5	0.0	0.0	22.1666666667	0.666666666667	0.0	26887.6666667	51293.6666667	107.666666667	11086.1666667	0.0	0.0	0.0	15.0	498330965.333	10489.5	275.0	70	2870	3010	3010	34.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	2.0	611.0	620.5	342.5	0.0	2269.0	214.0	0.0	0.0	245.0	0.0	20.0	4939.5	0.0	0.0	0.0	119.5	0.0	0.0	0.0	0.0	3.5	0.0	567.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	46.0	0.0	1.0	1499.0	0.0	106.0	0.0	11.5	0.0	20.0	0.0	39.0	4841.5	0.0	0.0	0.0	445.5	4.5	0.0	5.0	4.0	10.5	0.0	0.0	0.0	0.0	49.5	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	618.5	7.0	0.0	0.0	46.5	1.0	20.0	0.0	4781.5	0.0	8.5	0.0	0.0	8559.5	956.0	0.0	58.7274217125	
9	635.333333333	1.33333333333	469.333333333	15918.0	200.666666667	99.6666666667	0.0	0.0	11.6666666667	0.0	0.0	29584.0	52790.3333333	107.333333333	11648.0	0.0	0.0	0.0	15.0	498633386.667	10658.0	300.333333333	70	2870	3080	3080	59.0	0.0	0.0	0.0	0.0	0.0	0.0	31.5	2.0	611.5	584.0	354.5	0.0	2878.5	213.5	0.0	0.0	245.0	0.0	20.0	4698.5	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	5.0	0.0	580.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	61.0	0.0	1.0	1845.5	0.0	106.5	0.0	10.0	0.0	19.5	0.0	39.0	6083.5	0.0	0.0	0.0	444.5	3.5	0.0	7.0	4.0	11.0	0.0	0.0	0.0	0.0	39.5	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.5	0.0	0.0	0.0	584.5	6.5	0.0	0.0	51.0	1.0	19.5	0.0	4889.5	0.0	0.0	0.0	0.0	10512.0	1027.5	0.0	58.7462426204	
10	626.857142857	0.571428571429	481.714285714	15905.4285714	198.857142857	97.4285714286	0.0	0.0	18.5714285714	0.571428571429	0.0	29503.2857143	52171.4285714	107.857142857	11743.8571429	0.0	0.0	0.0	15.0	498721353.143	10653.0	296.285714286	70	2870	3010	3080	56.4	0.2	0.0	0.0	0.0	0.0	0.0	31.4	2.0	615.6	575.4	351.6	0.0	2849.0	218.4	0.0	0.0	245.8	0.0	20.0	4740.6	0.0	0.0	0.0	131.4	0.0	0.0	0.0	0.0	4.0	0.0	579.2	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	11.6	0.0	0.0	0.0	57.4	0.0	1.0	1830.6	0.0	106.6	0.0	10.4	0.0	19.0	0.0	39.4	6020.0	0.0	0.0	0.0	446.4	3.2	0.0	7.0	4.0	10.6	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	575.8	7.0	0.0	0.0	49.0	1.0	19.0	0.0	4849.0	0.0	5.6	0.0	0.0	10493.0	991.2	0.0	57.6803123194	
11	607.0	1.0	476.125	15940.625	190.625	100.75	0.0	0.0	11.375	0.375	0.0	27312.125	51489.25	108.0	11759.75	0.0	0.0	0.0	15.0	498761728.0	10679.375	291.375	70	2870	3010	3080	49.6666666667	0.166666666667	0.0	0.0	0.166666666667	1.33333333333	0.0	29.8333333333	2.0	514.5	466.833333333	296.333333333	0.0	2461.83333333	192.5	1.66666666667	0.0	192.666666667	0.0	17.3333333333	3867.5	0.0	0.333333333333	0.666666666667	118.833333333	0.0	0.0	0.0	0.0	4.0	0.0	489.5	0.0	0.0	0.0	0.0	0.0	2.33333333333	2.0	0.666666666667	0.0	9.66666666667	1.0	0.0	0.333333333333	56.1666666667	0.0	1.33333333333	1630.0	0.5	92.0	0.0	10.5	0.5	17.0	0.0	33.1666666667	5228.5	0.0	0.0	0.666666666667	362.333333333	3.66666666667	0.166666666667	13.6666666667	3.66666666667	16.3333333333	0.0	0.0	0.0	0.0	30.5	0.0	0.0	0.0	0.333333333333	4.0	0.0	0.0	6.16666666667	0.166666666667	2.0	0.833333333333	469.666666667	6.5	0.0	0.0	50.4999999999	0.833333333333	17.0	2.0	3942.83333333	0.0	0.0	2.33333333333	0.333333333333	9066.83333333	863.166666667	0.0	58.1806094621	
12	594.333333333	1.0	472.0	15955.6666667	192.333333333	92.3333333333	0.0	0.0	10.3333333333	0.0	0.0	25989.6666667	51007.6666667	108.0	11693.6666667	0.0	0.0	0.0	15.0	498782208.0	10672.3333333	284.666666667	70	3010	3080	3150	57.1428571429	0.142857142857	0.0	0.0	0.0	0.0	0.0	31.8571428571	2.0	599.857142857	568.142857143	336.285714285	0.0	2817.14285714	217.285714286	0.0	0.0	230.571428571	0.0	20.0	4603.28571429	0.0	0.0	0.0	132.714285714	0.0	0.0	0.0	0.0	4.28571428571	0.0	583.857142857	0.0	0.0	0.0	0.0	0.0	0.0	1.42857142857	0.0	0.0	11.5714285714	0.0	0.0	0.0	58.8571428571	0.0	1.0	1829.85714286	0.0	106.571428571	0.0	9.85714285714	0.0	20.0	0.0	39.4285714286	5970.57142857	0.0	0.0	0.0	430.571428571	4.14285714286	0.0	7.0	4.0	10.8571428571	0.0	0.0	0.0	0.0	39.8571428571	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.85714285714	0.0	0.0	0.0	567.714285714	6.85714285714	0.0	0.0	50.2857142857	1.0	20.0	0.0	4774.42857143	0.0	8.85714285714	0.0	0.0	10332.1428571	1009.71428571	0.0	58.1786424414	
13	615.166666667	1.0	471.166666667	15970.8333333	196.666666667	97.6666666667	0.0	0.0	17.5	0.166666666667	0.166666666667	28441.6666667	52247.0	107.5	11776.5	0.0	0.0	0.0	15.0	498752170.667	10658.1666667	294.333333333	70	2870	3010	3080	53.7142857143	0.0	0.0	0.0	0.0	0.0	0.0	29.7142857143	2.0	597.285714286	564.857142857	328.571428571	0.0	2860.14285714	215.142857143	0.0	0.0	231.0	0.0	20.0	4599.42857143	0.0	0.0	0.0	126.571428571	0.0	0.0	0.0	0.0	3.0	0.0	578.285714286	0.0	0.0	0.0	0.0	0.0	0.0	1.14285714286	0.0	0.0	11.1428571429	0.0	0.0	0.0	52.2857142857	0.0	1.0	1847.14285714	0.0	106.0	0.0	10.1428571429	0.0	19.5714285714	0.0	38.8571428571	6045.14285714	0.0	0.0	0.0	431.714285714	4.0	0.0	7.0	4.0	9.0	0.0	0.0	0.0	0.0	37.1428571429	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.85714285714	0.0	0.0	0.0	564.0	6.85714285714	0.0	0.0	45.4285714286	1.14285714286	19.5714285714	0.0	4685.57142857	0.0	12.4285714286	0.0	0.0	10572.2857143	950.428571429	0.0	58.2362491481	
