id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy
1	3460.7	1.0	1054.6	38280.0	1645.7	325.0	0.2	1.1	226.2	0.5	5.4	107008.4	165773.6	542.5	40439.2	215.9	2.0	0.0	31.2	612892262.4	23623.1	1972.0	200	39200	39200	39800	8947.54545455	0.0	8.81818181818	0.909090909091	2.0	0.0	0.0	49.5454545455	0.0	7112.27272727	7521.09090909	14915.0909091	21.2727272727	7502.45454545	128.636363636	81.7272727273	21.2727272727	1063.36363636	0.0	421.818181818	31218.2727273	0.0	141.454545455	80.1818181818	1027.36363636	0.0	21.2727272727	0.0	0.0	33.5454545455	2.0	261.454545455	4.0	0.0	1.0	1.0	22.1818181818	42.6363636364	170.363636364	168.454545455	4831.36363636	9.90909090909	6.36363636364	86.0909090909	492.090909091	831.727272727	1.63636363636	44.1818181818	2763.18181818	25.8181818182	36.8181818182	0.0	7.54545454545	12.7272727273	40.7272727273	0.0	14.6363636364	4161.36363636	0.0	3.0	0.0	370.818181818	1.45454545455	0.0909090909091	180619.545455	1.0	5272.81818182	2.09090909091	0.0	2.0	1.18181818182	73.2727272727	3.18181818182	0.0	14.0	6.0	12.4545454545	0.0	0.0	5.45454545455	10.3636363636	0.0	0.0	7032.09090909	5.45454545455	3358.0	6.09090909091	2372.72727273	1.18181818182	38.6363636364	0.0	2130.09090909	0.0	0.818181818182	0.0	1.63636363636	93129.9090909	630.818181818	7.90909090909	222.109415465
2	3447.4	0.7	1058.2	38266.9	1640.0	322.5	0.0	1.1	244.3	0.3	7.2	102226.5	167127.2	543.6	40009.2	214.5	2.0	0.0	31.5	613418188.8	23679.6	1963.6	200	38400	38400	38800	7156.7	0.0	7.1	0.8	1.6	0.0	0.0	38.2	0.0	5834.2	6070.9	11900.9	17.4	5915.8	103.4	64.8	17.4	844.6	0.0	338.2	25066.7	0.0	113.3	61.5	787.2	0.0	17.4	0.0	0.0	26.1	1.6	219.0	3.2	0.0	0.8	0.8	18.2	33.6	137.3	135.3	3865.3	7.4	4.8	67.3	400.8	641.3	1.4	35.6	2134.8	21.1	31.4	0.0	7.4	9.6	31.9	0.0	11.6	3257.4	0.0	2.4	0.0	288.6	1.1	0.0	144323.5	0.8	4243.4	1.6	0.0	1.6	0.8	74.7	2.4	0.0	11.2	4.8	9.6	0.0	0.0	4.4	8.0	0.0	0.0	5310.6	4.4	2739.9	4.8	1886.5	0.9	30.3	0.0	1721.8	0.0	0.5	0.0	1.4	74562.3	508.5	4.0	224.109716081
3	3571.6	1.0	1039.8	38196.9	1664.5	306.2	0.0	1.2	216.5	0.4	6.6	111091.2	167873.1	545.7	40391.3	214.1	2.0	0.0	31.3	614105497.6	23764.9	1971.9	200	38200	38200	38600	8917.0	0.0	8.9	1.0	2.0	0.0	0.0	44.7	0.0	7320.5	7588.2	14866.4	21.7	7380.9	127.3	81.0	21.7	1072.6	0.0	424.8	31280.6	0.0	144.0	81.5	985.1	0.0	21.7	0.0	0.0	32.5	2.0	272.3	4.0	0.0	1.0	1.0	24.0	42.0	175.5	172.9	4834.3	9.3	6.0	85.2	523.1	799.6	1.8	44.4	2663.0	27.8	36.8	0.0	8.4	12.0	40.5	0.0	13.8	4091.3	0.0	3.0	0.0	358.8	1.8	0.0	180262.4	1.0	5292.8	2.0	0.0	2.0	1.0	85.2	3.0	0.0	14.0	6.0	12.0	0.0	0.0	5.3	10.0	0.0	0.0	6654.9	5.3	3444.6	6.0	2347.9	1.3	38.5	0.0	2151.0	0.0	1.2	0.0	1.8	93273.6	633.7	5.0	222.350120053
4	3472.5	0.7	1055.3	38229.8	1635.5	330.3	0.0	1.4	263.6	0.7	6.7	101367.3	165964.1	544.7	40752.0	214.4	2.0	0.0	31.4	614236160.0	23892.4	1967.2	200	39000	39000	39400	7982.0	0.0	7.9	0.9	1.8	0.0	0.0	38.5	0.0	6713.6	6810.3	13306.3	18.8	6651.5	116.0	72.9	18.8	970.4	0.0	380.7	28111.1	0.0	129.7	66.9	884.4	0.0	18.8	0.0	0.0	29.6	1.8	245.3	3.6	0.0	0.9	0.9	23.4	37.8	159.2	156.6	4348.8	8.5	5.6	77.1	463.2	716.0	1.4	40.0	2382.4	25.8	32.8	0.0	5.3	11.0	36.9	0.0	11.9	3724.7	0.0	2.7	0.0	323.4	1.2	0.0	162052.1	0.9	4778.1	1.8	0.0	1.8	1.0	64.2	2.8	0.0	12.6	5.4	10.8	0.0	0.0	5.4	9.0	0.0	0.0	5983.4	5.5	3181.2	5.4	2122.6	1.3	35.0	0.0	1904.2	0.0	0.0	0.0	1.4	83589.4	564.5	4.5	225.645851418
5	3595.9	1.3	1049.1	38123.5	1653.1	321.3	0.1	0.8	256.2	0.5	5.9	113800.8	167905.9	546.3	40765.6	215.6	2.0	0.0	31.6	614403276.8	23848.0	1975.3	200	39000	39000	39600	8905.9	0.0	9.0	1.0	2.0	0.0	0.0	41.6	0.0	7215.3	7602.8	14844.5	20.5	7411.7	125.7	81.0	20.5	1080.8	0.0	427.8	31229.4	0.0	143.2	88.2	979.5	0.0	20.5	0.0	0.0	32.2	2.0	270.4	4.0	0.0	1.0	1.0	22.8	42.0	172.0	170.7	4835.0	9.4	6.0	85.0	506.4	794.8	2.0	44.4	2660.0	26.5	35.9	0.0	6.5	12.0	40.1	0.0	13.1	4112.9	0.0	3.0	0.0	359.8	1.6	0.0	179911.5	1.0	5293.6	2.0	0.0	2.0	1.0	79.7	3.0	0.0	14.0	6.0	12.0	0.0	0.0	5.2	10.0	0.0	0.0	6654.8	5.2	3482.6	6.0	2350.2	1.2	38.1	0.0	2125.3	0.0	1.0	0.0	2.0	93230.6	621.1	5.0	225.017052659
6	3559.6	0.6	1034.1	38164.2	1643.1	324.6	0.0	1.4	262.8	0.5	6.4	105090.7	166519.8	543.9	40558.8	215.4	2.0	0.0	31.3	614300057.6	23918.6	1969.1	200	38600	38800	39200	8901.9	0.0	8.9	1.0	2.0	0.0	0.0	45.1	0.0	7170.5	7583.0	14828.2	21.8	7401.3	128.6	81.0	21.8	1058.9	0.0	421.0	31223.7	0.0	143.2	75.5	981.5	0.0	21.8	0.0	0.0	33.8	2.0	274.5	4.0	0.0	1.0	1.0	22.6	42.0	172.3	170.5	4828.8	10.0	6.4	84.3	486.6	798.2	1.8	44.0	2659.2	26.2	36.9	0.0	7.7	12.8	41.1	0.0	13.9	4112.2	0.0	3.0	0.0	357.0	1.9	0.2	179870.9	1.0	5289.9	2.0	0.0	2.0	1.2	75.4	3.2	0.0	14.0	6.0	12.0	0.0	0.0	5.9	10.0	0.0	0.0	6625.3	5.9	3454.2	6.0	2350.7	1.3	39.1	0.0	2122.4	0.0	1.0	0.0	1.8	93028.0	637.8	5.0	225.121264988
7	3499.8	0.7	1048.8	38195.7	1650.8	324.7	0.0	1.2	273.4	0.8	7.4	110858.9	166176.7	545.4	40526.0	215.2	2.0	0.0	31.6	614801817.6	23924.3	1976.7	200	38800	38800	39200	8909.7	0.0	9.0	1.0	2.0	0.0	0.0	44.2	0.0	7244.4	7604.1	14850.5	20.7	7341.0	129.3	81.0	20.7	1075.9	0.0	427.0	31217.2	0.0	143.3	82.0	982.1	0.0	20.7	0.0	0.0	32.3	2.0	261.7	4.0	0.0	1.0	1.0	23.2	42.0	172.6	171.2	4847.7	9.8	6.0	85.0	493.1	796.8	2.0	44.4	2668.0	26.9	36.3	0.0	7.9	12.0	40.3	0.0	13.4	4140.9	0.0	3.0	0.0	356.1	1.5	0.0	179795.4	1.0	5295.3	2.0	0.0	2.0	1.0	83.5	3.0	0.0	14.0	6.0	12.0	0.0	0.0	5.3	10.0	0.0	0.0	6658.4	5.3	3401.6	6.0	2351.0	1.2	38.3	0.0	2113.6	0.0	0.0	0.0	2.0	93057.2	620.5	5.0	224.981795091
9	3472.4	0.9	1049.4	38200.2	1669.9	322.4	0.0	1.3	294.1	0.4	7.0	103501.3	166112.7	545.2	40699.1	215.1	2.0	0.0	31.1	614386073.6	23919.5	1993.6	200	38400	38400	38800	8003.8	0.0	8.0	0.9	1.8	0.0	0.0	39.9	0.0	6478.4	6866.9	13360.0	18.6	6574.3	118.2	72.9	18.6	962.6	0.0	381.7	28160.1	0.0	128.7	70.8	886.3	0.0	18.6	0.0	0.0	29.2	1.8	237.9	3.6	0.0	0.9	0.9	20.4	37.8	155.9	153.9	4359.6	8.1	5.4	76.5	465.0	718.4	1.6	39.8	2386.3	24.2	32.9	0.0	6.0	10.8	36.7	0.0	13.0	3670.3	0.0	2.7	0.0	324.0	1.5	0.0	162046.1	0.9	4750.6	1.8	0.0	1.8	0.9	82.2	2.7	0.0	12.6	5.4	10.8	0.0	0.0	5.0	9.0	0.0	0.0	5991.0	5.0	3130.4	5.4	2105.7	1.1	34.9	0.0	1915.3	0.0	1.2	0.0	1.6	83542.6	562.8	4.5	223.024860922
10	3492.0	0.5	1066.6	38054.0	1645.7	326.5	0.1	1.0	408.3	0.3	6.8	113203.4	166498.7	543.7	36250.9	182.2	2.0	0.0	31.4	615195852.8	24130.5	1973.3	200	38600	38600	39000	8029.4	0.1	8.0	0.0	1.8	0.0	0.0	45.3	0.0	6529.0	6886.5	13381.9	12.6	6619.8	116.5	72.9	12.6	957.7	0.0	380.0	28142.4	0.0	128.9	69.3	885.6	0.0	12.6	0.0	0.0	30.1	1.8	183.3	3.6	0.0	0.9	0.9	20.8	37.8	156.3	154.0	4361.0	9.1	5.7	75.8	454.4	737.2	1.6	39.8	2400.8	24.1	31.6	0.0	7.3	11.3	35.2	0.0	12.9	3661.2	0.0	1.8	0.0	312.2	1.6	0.1	161980.6	0.9	4764.4	1.8	0.0	0.9	1.1	100.9	2.9	0.0	12.6	5.4	10.8	0.0	0.0	4.3	9.0	0.0	0.0	9278.6	4.3	3128.7	5.4	2135.3	1.0	33.4	0.0	1881.5	0.0	0.0	0.0	1.6	83811.2	517.4	4.5	225.80130627
11	3488.0	0.9	1084.6	38075.0	1643.2	330.0	0.0	1.1	375.8	0.5	5.7	111592.4	167474.4	544.6	37062.8	181.8	2.0	0.0	31.3	615097548.8	24182.3	1974.3	200	39000	39200	39600	8067.9	0.0	8.0	0.0	1.8	0.0	0.0	50.8	0.0	6755.0	6907.8	13412.6	12.6	6611.1	122.7	72.9	12.6	964.2	0.0	378.9	28229.9	0.0	129.4	66.7	891.2	0.0	12.6	0.0	0.0	30.8	1.8	187.4	3.6	0.0	0.9	0.9	22.8	37.8	158.7	155.6	4356.2	8.1	5.8	76.5	465.4	743.7	1.6	40.4	2421.9	25.2	34.5	0.0	8.3	11.5	35.9	0.0	12.7	3684.7	0.0	1.8	0.0	316.4	1.5	0.1	162074.9	0.9	4783.3	1.8	0.0	0.9	1.1	111.9	2.9	0.0	12.6	5.4	10.8	0.0	0.0	4.7	9.0	0.0	0.0	9534.9	4.7	3231.7	5.4	2146.3	1.0	34.0	0.0	1957.4	0.0	1.2	0.0	1.6	84183.8	536.1	4.5	225.858306516
