id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	890.6	18.0	538.2	14723.8	370.2	117.7	0.0	0.0	45.1	0.1	0.1	32907.4	65294.2	191.7	13915.4	0.0	0.0	0.0	21.9	527985459.2	11462.1	487.9	65	10855	10985	10985	40.0	0.0	0.0	0.0	2.0	772.0	0.0	77.2	2.0	922.4	875.4	1514.8	0.0	2651.0	303.0	28.9	0.0	376.3	0.0	68.0	7181.9	0.0	0.0	0.0	660.3	0.0	0.0	0.0	0.0	388.8	0.0	975.4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	65.7	0.0	0.0	636.6	0.0	3.8	1924.0	0.0	74.4	0.0	14.8	1.5	20.1	0.0	32.0	5732.2	0.0	0.0	386.0	722.4	5.5	1.0	2253.0	4.0	2452.0	0.0	0.0	0.0	0.0	50.4	0.0	0.0	0.0	2.8	0.0	0.0	0.0	14.7	2.0	0.0	0.0	627.6	33.7	0.0	0.0	2458.0	1.2	20.0	0.0	8709.5	0.0	8.7	63.0	0.0	11484.0	1694.3	0.0	72.539585829	
2	887.3	23.9	545.6	14732.8	376.8	124.1	0.0	0.0	46.2	0.3	0.0	33091.4	65032.5	191.6	14676.5	0.0	0.0	0.0	22.1	531811942.4	12421.7	500.9	65	10725	10855	10855	39.6	0.0	0.0	0.0	2.0	1070.0	0.0	84.6	2.0	943.6	902.9	1910.4	0.0	2788.6	309.4	30.3	0.0	386.6	0.0	68.0	7425.6	0.0	0.0	0.0	828.3	0.0	0.0	0.0	0.0	538.7	0.0	953.9	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	13.4	104.2	0.0	0.0	822.6	0.0	4.8	2026.3	0.0	76.1	0.0	14.9	1.8	21.5	0.0	32.4	6058.6	0.0	0.0	535.0	740.0	4.7	1.0	3273.1	4.8	3303.0	0.0	0.0	0.0	0.0	79.9	0.0	0.0	0.0	3.7	0.0	0.0	0.0	16.0	2.0	0.0	0.0	656.7	35.0	0.0	0.0	3431.6	1.1	21.5	0.0	8996.9	0.0	4.7	72.0	0.0	12332.9	1798.7	0.0	74.5785900327	
3	899.4	25.3	541.1	14681.2	387.6	124.1	0.0	0.0	44.3	0.6	0.0	33003.7	65981.6	191.0	14640.6	0.0	0.0	0.0	22.1	531809894.4	12428.3	511.7	65	10725	10855	10855	40.0	0.1	0.0	0.0	2.0	1070.0	0.0	84.4	2.0	924.3	875.3	1897.7	0.0	2760.3	306.6	30.3	0.0	373.3	0.0	68.0	7209.4	0.0	0.0	0.0	828.4	0.0	0.0	0.0	0.0	538.7	0.0	885.4	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	13.5	104.2	0.0	0.0	822.6	0.0	4.9	2001.2	0.0	75.4	0.0	15.8	1.7	21.1	0.0	32.5	6002.6	0.0	0.0	535.0	722.0	5.7	1.0	3273.2	4.9	3318.7	0.0	0.0	0.0	0.0	76.3	0.0	0.0	0.0	3.7	0.0	0.0	0.0	15.3	2.0	0.0	0.0	633.4	34.3	0.0	0.0	3431.7	1.0	21.1	0.0	8559.6	0.0	6.8	72.0	0.0	12342.3	1805.0	0.0	74.2309432963	
4	887.3	25.1	532.5	14700.0	364.3	120.6	0.0	0.0	44.7	0.3	0.0	32750.5	62963.9	190.9	14476.1	0.0	0.0	0.0	21.9	532479180.8	12624.8	484.9	65	10725	10855	10855	37.8181818182	0.0	0.0	0.0	2.0	1070.0	0.0	83.9090909091	2.0	921.909090909	885.818181818	1899.0	0.0	2696.09090909	300.363636364	29.0	0.0	378.272727273	0.0	68.0	7215.90909091	0.0	0.0	0.0	825.363636364	0.0	0.0	0.0	0.0	538.090909091	0.0	874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.909090909091	0.0	0.0	12.3636363636	102.909090909	0.0	0.0	820.545454545	0.0	4.36363636364	1960.36363636	0.0	73.4545454545	0.0	14.6363636364	1.36363636364	19.6363636364	0.0	31.3636363636	5839.63636364	0.0	0.0	535.0	724.0	5.54545454545	1.0	3273.0	5.0	3296.72727273	0.0	0.0	0.0	0.0	79.6363636364	0.0	0.0	0.0	3.09090909091	0.0	0.0	0.0	14.5454545455	2.0	0.0	0.0	642.363636364	33.5454545455	0.0	0.0	3427.18181818	1.36363636364	19.6363636364	0.0	8549.90909091	0.0	0.0	72.0	0.0	12030.2727273	1790.18181818	0.0	73.2439808545	
5	894.3	25.1	545.7	14709.3	384.0	125.0	0.0	0.0	57.9	0.0	0.0	32994.3	65518.7	190.7	14622.7	0.0	0.0	0.0	21.9	532484096.0	12637.6	509.0	65	10530	10660	10595	37.6	0.3	0.0	0.0	2.0	1070.0	0.0	83.5	2.0	911.1	873.4	1889.4	0.0	2721.7	299.0	28.7	0.0	370.6	0.0	68.0	7108.8	0.0	0.0	0.0	824.6	0.0	0.0	0.0	0.0	538.0	0.0	918.3	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	12.2	102.4	0.0	0.0	819.8	0.0	4.3	1964.2	0.0	73.4	0.0	13.9	1.3	19.3	0.0	31.2	5887.0	0.0	0.0	535.0	713.5	5.2	1.0	3273.0	5.4	3309.8	0.0	0.0	0.0	0.0	81.7	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.1	2.0	0.0	0.0	630.6	33.1	0.0	0.0	3425.4	1.5	19.3	0.0	8516.1	0.0	3.2	72.0	0.0	11998.7	1783.2	0.0	74.0792682281	
6	922.1	51.4	543.1	14646.3	435.8	132.1	0.0	0.0	46.7	0.5	0.0	37063.8	74883.2	191.1	14838.4	0.0	0.0	0.0	21.8	533233254.4	12826.1	567.9	65	10530	10660	10595	38.4	0.0	0.0	0.0	2.0	989.8	0.0	89.0	2.0	930.2	889.8	1814.5	0.0	2773.6	300.2	24.4	0.0	382.5	0.0	68.0	7258.8	0.0	0.0	0.0	744.4	0.2	0.0	0.0	0.0	499.9	0.0	854.2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	12.8	103.1	0.0	0.0	739.6	0.0	4.3	1997.8	0.0	74.5	0.0	15.0	1.7	20.9	0.0	31.8	6018.7	0.0	0.0	494.9	730.1	4.3	1.0	3893.8	5.8	3167.5	0.0	0.0	0.0	0.0	88.9	0.0	0.0	0.0	3.2	0.0	0.0	0.0	15.0	2.0	0.0	0.0	643.4	34.0	0.0	0.0	3191.4	1.4	20.9	0.0	8585.6	0.0	1.9	61.0	0.0	15595.2	1942.0	0.0	73.9686475216	
7	936.6	53.9	563.5	14628.2	452.2	137.9	0.0	0.0	43.7	0.2	0.0	37515.7	76832.4	191.0	15000.0	0.0	0.0	0.0	21.9	533358592.0	12844.9	590.1	65	10205	10335	10270	37.6	0.1	0.0	0.0	2.0	1182.6	0.0	90.0	2.0	916.9	874.1	1998.5	0.0	2772.7	301.3	24.4	0.0	371.2	0.0	68.0	7133.5	0.0	0.0	0.0	840.5	0.0	0.0	0.0	0.0	595.5	0.0	846.2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	12.8	103.0	0.0	0.0	835.7	0.0	4.2	1995.5	0.0	74.2	0.0	13.6	1.6	20.3	0.0	31.8	6013.7	0.0	0.0	591.3	716.5	4.8	1.0	4279.2	4.6	3669.7	0.0	0.0	0.0	0.0	86.3	0.0	0.0	0.0	3.2	0.0	0.0	0.0	15.3	2.0	0.0	0.0	632.0	34.3	0.0	0.0	3769.8	1.4	20.3	0.0	8394.4	0.0	2.3	61.0	0.0	15687.2	1908.1	0.0	73.3525926762	
8	922.5	50.5	556.4	14647.3	439.0	139.9	0.0	0.0	42.8	0.2	0.0	37385.1	76237.3	190.2	14908.2	0.0	0.0	0.0	21.8	533273395.2	12833.3	578.9	65	10335	10465	10465	37.6	0.1	0.0	0.0	2.0	1184.0	0.0	88.8	2.0	897.3	851.3	1983.3	0.0	2792.8	297.5	23.8	0.0	357.6	0.0	68.0	6928.6	0.0	0.0	0.0	841.4	0.0	0.0	0.0	0.0	596.0	0.0	864.2	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	12.4	102.5	0.0	0.0	836.6	0.0	4.3	1995.9	0.0	73.4	0.0	14.1	1.4	19.5	0.0	31.4	6049.1	0.0	0.0	592.0	699.3	4.4	1.0	4282.2	4.4	3687.8	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.6	2.0	0.0	0.0	610.3	33.6	0.0	0.0	3772.7	1.5	19.5	0.0	8216.8	0.0	4.8	61.0	0.0	15662.5	1898.0	0.0	74.6908627687	
9	936.3	51.8	547.3	14627.8	453.5	139.0	0.0	0.0	44.7	1.0	0.2	37719.5	76618.0	191.3	14928.4	0.0	0.0	0.0	21.9	532449280.0	12604.3	592.5	65	10400	10530	10465	38.4	0.0	0.0	0.0	2.0	1184.4	0.0	88.2	2.0	892.9	845.7	1979.0	0.0	2754.5	299.9	24.4	0.0	354.4	0.0	68.0	6867.6	0.0	0.0	0.0	842.2	0.0	0.0	0.0	0.0	596.4	0.0	855.4	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	12.8	103.0	0.0	0.0	837.3	0.0	4.2	1989.4	0.0	74.0	0.0	14.5	1.6	19.8	0.0	31.8	5969.9	0.0	0.0	592.2	693.6	5.1	1.0	4282.8	4.6	3702.0	0.0	0.0	0.0	0.0	83.5	0.0	0.0	0.0	3.2	0.0	0.0	0.0	15.3	2.0	0.0	0.0	608.2	34.3	0.0	0.0	3773.9	1.4	19.8	0.0	8075.3	0.0	1.4	61.0	0.0	15478.4	1909.1	0.0	73.9887543705	
10	928.5	54.2	531.5	14663.4	452.6	130.8	0.0	0.0	38.5	0.6	0.0	37338.2	75916.6	191.0	14954.9	0.0	0.0	0.0	22.0	532543078.4	12604.2	583.4	65	10595	10725	10725	37.6	0.0	0.0	0.0	2.0	1184.4	0.0	89.2	2.0	907.0	855.6	1990.9	0.0	2779.1	300.6	24.9	0.0	362.2	0.0	68.0	7004.2	0.0	0.0	0.0	843.3	0.0	0.0	0.0	0.0	596.7	0.0	850.3	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	13.1	103.7	0.0	0.0	838.1	0.0	4.6	2003.5	0.0	75.4	0.0	14.2	1.7	21.6	0.0	32.1	6039.1	0.0	0.0	592.2	708.3	5.3	1.0	4282.8	4.4	3701.9	0.0	0.0	0.0	0.0	78.3	0.0	0.0	0.0	3.5	0.0	0.0	0.0	15.9	2.0	0.0	0.0	616.3	34.9	0.0	0.0	3776.9	1.2	21.6	0.0	8303.0	0.0	1.1	61.0	0.0	15504.2	1927.7	0.0	73.9582051607	
