id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy	
1	2120.8	104.8	1306.6	39200.8	1298.0	286.9	0.2	5.5	200.7	1.3	16.0	122310.2	214705.0	321.7	36625.9	2040.1	0.0	0.0	25.9	538813235.2	18883.5	1590.6	200	34000	34000	34400	94.0	0.111111111111	0.0	0.0	8.0	302.666666667	0.0	122.444444444	6.0	3996.77777778	4760.66666667	2708.0	2.0	9767.88888889	872.333333333	220.555555556	2.0	1763.66666667	0.0	256.222222222	29464.3333333	0.0	36.5555555556	49.7777777778	1046.88888889	0.0	2.0	0.0	0.0	260.222222222	0.0	1735.88888889	1.0	0.0	0.0	0.0	0.0	42.0	129.111111111	45.5555555556	0.0	24.0	20.6666666667	30.0	5.0	469.666666667	65.2222222222	30.0	6492.11111111	673.333333333	221.333333333	0.0	45.7777777778	9.0	104.555555556	0.0	61.0	22114.6666667	0.0	7.0	151.333333333	3414.88888889	13.1111111111	3.0	1476.44444444	7.77777777778	1381.22222222	6.0	0.0	7.0	0.0	256.444444444	0.0	0.0	0.0	6.66666666667	81.8888888889	0.0	0.0	83.4444444444	55.5555555556	0.0	0.0	2473.11111111	153.777777778	0.0	7.0	1248.88888889	1.88888888889	98.5555555556	0.0	18580.7777778	0.0	17.3333333333	593.444444444	25.8888888889	37831.3333333	3042.55555556	0.0	247.115577774	
2	2144.6	97.0	1311.1	39228.2	1289.6	295.9	1.9	8.0	205.8	2.0	21.2	123667.9	218181.6	327.7	38597.8	3101.9	0.0	0.0	26.1	539090534.4	18896.8	1595.4	200	39600	34800	34400	107.1	0.0	0.0	0.0	8.0	308.2	0.0	124.9	5.0	3788.6	4323.5	2699.0	2.0	10195.2	900.8	226.9	2.0	1650.0	0.0	259.5	28265.1	0.0	36.8	50.4	1435.6	0.2	2.0	0.0	0.0	271.0	0.0	1777.3	1.0	0.0	0.0	0.0	0.0	84.0	132.7	45.8	0.0	23.8	21.2	60.0	5.0	538.4	65.8	36.6	6654.9	675.3	224.2	0.0	50.3	9.3	115.6	0.0	78.3	23135.3	0.0	13.0	154.1	3212.1	12.8	4.0	1500.0	7.9	1410.9	12.0	0.0	13.0	0.0	255.1	0.0	0.0	0.0	11.7	112.3	0.0	0.0	90.4	79.8	0.0	0.0	2458.9	157.1	0.0	13.0	1384.3	2.1	103.5	0.0	18673.0	0.0	16.7	600.6	26.2	38372.8	3205.3	0.0	248.503106627	
3	2116.0	98.7	1273.3	39238.8	1286.1	284.9	0.9	9.1	205.6	2.1	18.1	121414.7	212010.2	329.6	38768.3	3099.1	0.0	0.0	26.2	539263385.6	18849.8	1581.0	200	33600	34200	28600	106.727272727	0.0	0.0	0.0	8.0	308.181818182	0.0	130.181818182	5.0	3725.0	4192.63636364	2679.27272728	2.0	10322.4545455	913.454545455	227.181818182	2.0	1607.54545455	0.0	256.818181818	27834.5454545	0.0	37.0	50.5454545455	1413.63636364	0.181818181818	2.0	0.0	0.0	276.454545455	0.0	1812.09090909	1.0	0.0	0.0	0.0	0.0	84.0	134.818181818	46.0	0.0	24.0	23.3636363636	60.0	5.0	538.181818182	69.0909090909	36.0909090909	6733.36363636	678.363636364	229.272727273	0.0	56.5454545455	9.27272727273	117.727272727	0.0	79.0	23446.8181818	0.0	13.0	154.090909091	3140.45454545	14.0909090909	4.0	1516.90909091	7.63636363636	1413.63636364	12.0	0.0	13.0	0.0	258.181818182	0.0	0.0	0.0	13.6363636364	110.0	0.0	0.0	92.5454545455	80.0	0.0	0.0	2421.27272727	164.727272727	0.0	13.0	1355.54545455	2.0	105.636363636	0.0	18201.7272727	0.0	14.4545454545	605.0	26.2727272727	39167.1818182	3244.45454545	0.0	246.796552785	
4	2104.8	141.4	1280.8	39181.8	1333.2	283.5	0.0	0.2	224.6	1.8	14.9	122475.6	211713.6	334.7	36044.3	196.4	0.0	0.0	32.0	547512729.6	19670.4	1616.9	200	38200	34200	34000	37.8	0.0	0.0	0.0	8.0	300.0	0.0	142.2	5.0	4137.0	4875.9	2725.3	2.0	10496.5	973.7	220.9	2.0	1765.5	0.0	248.3	30079.0	0.0	37.0	56.2	603.7	0.2	2.0	0.0	0.0	270.7	0.0	1715.2	1.0	0.0	0.0	0.0	0.0	0.0	177.1	54.0	0.0	24.0	26.5	0.0	8.7	420.6	100.9	37.3	6802.5	713.2	246.4	0.0	60.5	10.9	122.4	0.0	43.0	23783.7	0.0	1.0	150.0	3479.7	19.2	4.0	1607.5	8.0	1393.2	0.0	0.0	0.4	0.0	213.1	0.0	0.0	0.0	14.9	80.1	0.0	0.0	108.0	35.7	0.0	0.0	2542.2	200.0	0.0	1.0	1244.1	1.7	122.3	0.0	17356.5	0.0	11.2	578.0	29.1	40447.6	3026.5	0.0	248.409124903	
5	1874.8	134.4	1179.5	39564.9	1115.4	257.7	0.0	0.3	236.3	1.2	19.1	112271.8	191734.1	336.7	34674.1	589.2	0.0	0.0	31.9	548413849.6	18950.9	1373.4	200	39200	34000	33600	61.0	0.1	0.0	0.0	8.0	318.2	0.0	148.6	4.0	3219.6	3175.2	2292.2	2.0	10054.0	968.3	225.8	2.0	1300.7	0.0	245.3	23136.3	0.0	39.3	58.2	648.0	0.0	2.0	0.0	0.0	281.8	0.0	1654.6	1.0	0.0	0.0	0.0	0.0	0.0	177.3	54.4	0.0	26.0	25.6	0.0	7.6	444.5	104.3	32.0	6517.3	718.4	261.2	0.0	60.1	9.7	123.5	0.0	50.0	22764.1	0.0	1.0	159.1	2560.5	17.2	4.0	1615.5	7.5	1459.5	0.0	0.0	0.1	0.0	240.7	0.0	0.0	0.0	15.8	75.8	0.0	0.0	107.8	36.6	0.0	0.0	2159.9	196.2	0.0	1.0	1229.9	1.8	123.4	0.0	15662.4	0.0	17.0	594.0	30.1	38957.1	2814.9	0.0	245.934393333	
6	3225.7	167.0	2201.5	36904.3	2156.3	495.1	0.0	0.3	421.0	8.2	18.3	193892.9	364215.7	341.8	40335.8	291.9	0.0	0.0	31.4	547191603.2	20466.2	2651.7	200	39600	34600	34200	310.4	0.0	0.0	0.0	8.0	323.8	0.0	160.0	4.0	18465.2	26876.3	7578.5	2.0	11908.1	1068.0	234.2	2.0	6932.2	0.0	245.6	130660.9	0.0	41.9	61.4	670.8	0.0	2.0	0.0	0.0	284.8	0.0	1729.3	1.0	0.0	0.0	0.0	0.0	0.0	187.0	58.3	0.0	26.0	26.9	0.0	9.2	465.6	111.6	37.2	7758.1	1006.3	264.6	0.0	74.8	10.0	123.9	0.0	50.0	26891.4	0.0	1.0	161.9	17706.3	20.3	4.0	1793.4	6.6	1496.1	0.0	0.0	0.3	0.0	298.8	0.0	0.0	0.0	18.6	79.8	0.0	0.0	110.4	38.4	0.0	0.0	9688.3	201.7	0.0	1.0	1282.1	1.8	123.9	0.0	30844.9	0.0	10.9	599.4	31.7	44923.6	2852.7	0.0	267.998517143	
7	1994.9	169.4	1258.1	39111.0	1232.6	277.3	0.0	0.1	459.7	1.5	21.4	125698.6	211704.2	341.6	35129.2	97.8	0.0	0.0	32.1	547627417.6	18906.8	1510.0	200	39600	34600	34200	313.363636363	0.0	0.0	0.0	8.0	320.909090909	0.0	153.818181818	5.0	3255.90909091	2994.36363636	2353.72727273	2.0	10332.5454545	1073.18181818	230.636363636	2.0	1274.63636364	0.0	245.181818182	23255.9090909	0.0	41.9090909091	61.4545454545	673.090909091	0.181818181818	2.0	0.0	0.0	284.727272727	0.0	1593.18181818	1.0	0.0	0.0	0.0	0.0	0.0	186.454545455	58.5454545455	0.0	26.0	25.8181818182	0.0	9.36363636364	463.090909091	111.818181818	37.2727272727	6630.18181818	1008.0	271.818181818	0.0	81.8181818182	10.0909090909	126.636363636	0.0	50.0	23311.6363636	0.0	1.0	160.454545455	2493.54545455	20.2727272727	4.0	1809.0	8.27272727273	1488.54545455	0.0	0.0	0.363636363636	0.0	255.545454545	0.0	0.0	0.0	17.6363636364	80.2727272727	0.0	0.0	110.545454545	38.3636363636	0.0	0.0	2539.18181818	202.545454545	0.0	1.0	1272.0	2.09090909091	126.545454545	0.0	16250.0909091	0.0	20.4545454545	594.090909091	31.7272727273	40895.5454545	2722.90909091	0.0	249.664850324	
8	1901.8	167.5	1188.9	39251.6	1188.4	251.5	0.0	0.5	427.8	1.1	18.9	119150.6	194566.2	335.4	34004.9	582.9	0.1	0.0	31.8	545170227.2	18641.1	1440.4	200	39600	34800	34400	228.0	0.0	0.0	0.0	8.0	288.444444444	0.0	142.777777778	5.0	3127.22222222	2886.44444444	2157.11111111	2.0	10086.8888889	995.555555556	226.0	2.0	1287.11111111	0.0	259.333333333	21662.7777778	0.0	38.8888888889	56.4444444444	620.111111111	0.222222222222	2.0	0.0	0.0	277.555555556	0.0	1235.44444444	1.0	0.0	0.0	0.0	0.0	0.0	191.777777778	55.7777777778	0.0	22.4444444444	27.3333333333	0.0	9.55555555556	436.444444444	102.777777778	53.0	6450.11111111	996.111111111	230.444444444	0.0	76.7777777778	10.3333333333	121.444444444	0.0	37.5555555556	22633.0	0.0	1.0	144.222222222	2436.11111111	18.3333333333	4.0	1671.66666667	7.88888888889	1351.44444444	0.0	0.0	0.444444444444	0.0	265.333333333	0.0	0.0	0.0	17.8888888889	92.7777777778	0.0	0.0	108.666666667	35.0	0.0	0.0	2286.44444444	200.111111111	0.0	1.0	1397.44444444	1.66666666667	121.444444444	0.0	13264.8888889	0.0	14.3333333333	536.0	29.2222222222	39930.8888889	2350.88888889	0.0	245.409368458	
9	1961.0	171.0	1214.2	39266.5	1241.0	253.9	0.0	0.4	403.3	1.4	20.4	122667.5	205563.0	339.8	33245.0	487.4	0.0	0.0	33.0	546364211.2	18684.7	1495.3	200	32000	34000	34000	220.6	0.0	0.0	0.0	8.0	286.4	0.0	135.9	5.0	3056.9	2829.6	2099.7	2.0	10079.7	978.8	225.1	2.0	1239.4	0.0	261.2	20756.8	0.0	38.8	56.0	621.2	0.0	2.0	0.0	0.0	273.5	0.0	1200.8	1.0	0.0	0.0	0.0	0.0	0.0	193.3	56.2	0.0	22.0	26.1	0.0	9.7	439.2	103.1	56.4	6423.6	1135.2	224.9	0.0	83.1	11.4	119.0	0.0	36.0	22567.6	0.0	1.0	143.2	2382.7	20.0	4.0	1671.6	7.7	1343.1	0.0	0.0	0.1	0.0	255.6	0.0	0.0	0.0	18.4	94.9	0.0	0.0	107.1	34.7	0.0	0.0	2252.3	199.2	0.0	1.0	1427.0	2.0	119.0	0.0	16037.4	0.0	14.4	530.5	29.0	39966.5	2335.3	0.0	244.810113213	
10	1898.53846154	161.076923077	1124.53846154	37007.2307692	1233.61538462	244.076923077	0.0769230769231	0.153846153846	378.846153846	1.30769230769	14.7692307692	114916.384615	194278.230769	322.615384615	31934.6923077	373.538461538	0.0	0.0	31.5384615385	541926321.231	17932.3846154	1477.92307692	200	32000	34200	34400	223.2	0.1	0.0	0.0	8.0	287.0	0.0	140.3	5.0	3076.4	2820.1	2092.9	2.0	10150.0	991.1	230.9	2.0	1250.1	0.0	264.3	20918.5	0.0	38.3	55.6	628.1	0.2	2.0	0.0	0.0	279.3	0.0	1205.7	1.0	0.0	0.0	0.0	0.0	0.0	195.8	55.9	0.0	22.0	29.3	0.0	9.8	446.1	102.8	60.4	6480.6	1135.5	227.8	0.0	83.2	12.4	123.2	0.0	36.0	22759.3	0.0	1.0	143.5	2394.4	19.6	4.0	1681.1	8.0	1346.4	0.0	0.0	0.5	0.0	266.4	0.0	0.0	0.0	19.3	99.4	0.0	0.0	111.1	34.8	0.0	0.0	2240.7	203.0	0.0	1.0	1478.8	1.9	123.2	0.0	16807.1	0.0	2.9	531.6	28.8	40502.1	2341.8	0.0	246.363772686	
