id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy	
1	2878.33333333	1.25	251324.25	15.5833333333	77	3234	3311	4158	36.0	1.0	7504.08333333	20.0	14.75	0.0	101.30537185	
2	13028.25	35.4166666667	305060.75	15.8333333333	161	4669	15939	6118	111.583333334	1.91666666667	96.0	89.0	10.0	0.916666666667	284.813904009	
3	1920.25	626.666666667	310234.583333	8.66666666667	70	3780	4970	5530	4619.66666667	0.0	3505.58333333	54.0	8.0	0.0	113.262923813	
4	975.416666667	20.9166666667	77034.9166667	2.25	95	16340	17480	17575	29.0	2.0	345.25	32.0	17.0	1.0	107.645199647	
5	10633.9090909	52.0909090909	571475.272727	3.0	202	33936	35350	34946	154.0	4.0	4310.25	71.3333333333	14.0	3.0	300.679169383	
6	14566.0833333	223.0	1069367.0	10.3333333333	246	32964	34440	37146	154.333333333	15.3333333333	2790.08333333	108.0	59.1666666667	13.3333333333	431.669841436	
7	4260.0	17.0833333333	589314.166667	1.25	207	10557	21321	27324	19.9230769231	7.46153846154	9660.84615385	125.153846154	9.30769230769	7.46153846154	251.491079288	
8	961.166666667	1.83333333333	48040.25	30.9166666667	143	25025	25168	25597	35.0	4.0	176.333333333	63.0833333333	17.0	0.0	131.295410174	
9	1150.08333333	0.833333333333	81390.5	0.333333333333	221	35139	35581	35581	0.0	0.0	570.833333333	138.0	7.0	0.0	194.297626203	
10	1041.91666667	1.08333333333	57631.8333333	3.66666666667	128	22784	23040	23424	1.0	0.0	271.166666667	57.0	16.0	0.0	118.530609132	
11	4196.91666667	42.9166666667	389608.833333	36.25	126	15372	18396	19026	53.4166666667	6.0	7201.91666667	78.0	31.0	2.0	201.037307064	
12	1596.15384615	1.0	96886.6153846	35.8461538462	237	31284	32232	36024	106.916666667	0.916666666667	222.25	83.0833333333	17.0	0.0	219.279632977	
13	830.833333333	18.0833333333	59085.75	1.66666666667	110	9460	9790	10890	65.0	2.0	193.083333333	50.0	13.0	2.0	96.6923634349	
14	4297.08333333	1.58333333333	485307.583333	0.666666666667	171	1197	1197	1197	50.75	1.91666666667	8855.66666667	140.0	12.0	0.0	186.34834974	
