id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	bind	futex	mmap2	utimes	energy	
1	635.25	1.0	316.0	30630.5	185.25	39.5	0.0	0.0	58.5	0.25	0.0	23547.5	28579.25	189.25	27343.0	0.0	0.5	0.0	9.0	502326272.0	20906.5	224.75	143	25454	23595	19877	71.0	0.0	0.0	0.0	0.0	0.0	0.0	42.6	1.0	111.4	139.8	169.6	0.0	338.0	45.4	1.8	0.0	90.0	0.0	59.6	790.8	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	9.8	0.0	170.8	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	2.8	0.0	0.0	28.0	0.0	0.8	476.0	0.0	29.8	0.0	13.0	1.0	5.2	0.0	10.0	773.6	0.0	0.0	0.0	79.2	0.0	0.0	4.4	2.0	8.0	0.0	0.0	0.0	0.0	80.2	0.0	0.0	0.0	0.8	4.0	0.0	0.0	3.0	0.0	0.0	0.0	84.0	3.0	0.0	0.0	40.0	0.6	5.2	0.0	1388.6	0.0	0.0	0.0	1840.2	478.0	0.0	128.515190222	
2	1364.5	0.5	682.5	32760.0	624.25	93.75	0.0	0.0	39.75	1.25	0.0	51207.25	85059.25	244.5	17476.75	0.0	0.0	0.0	10.0	498252800.0	15476.0	718.0	158	16590	20540	8532	53.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	3.0	886.8	1370.6	426.4	0.0	1508.8	158.4	0.0	0.0	403.2	0.0	61.2	6762.0	0.0	0.0	0.0	88.6	0.0	0.0	0.0	0.0	5.0	0.0	380.2	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	16.2	0.0	0.0	0.0	45.6	0.0	2.0	1023.4	0.0	55.2	0.0	10.2	0.0	7.4	0.0	24.8	3159.6	0.0	0.0	0.0	751.8	1.0	0.0	245.4	1.8	15.2	0.0	0.0	0.0	0.0	34.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	799.6	1.4	0.0	0.0	19.8	1.6	7.4	0.0	4508.4	0.0	0.2	0.0	5651.4	694.8	0.0	139.632967018	
3	3474.125	1.0	869.75	21068.25	3052.5	405.875	0.0	0.0	208.75	0.5	15.125	83707.0	122239.625	173.375	59589.875	0.0	41.375	0.0	19.625	598319616.0	33456.0	3458.375	113	14238	14577	15481	59.2	0.0	1.0	0.0	2.8	72.0	0.0	69.4	2.2	4005.8	6279.2	4061.8	3.2	12750.6	1306.2	133.0	3.2	333.8	0.0	40.4	34961.6	0.0	2.0	11.4	189.2	0.4	3.2	0.0	0.0	18.4	0.0	2084.6	1.6	0.0	0.0	0.0	0.0	0.0	15.4	14.0	0.0	312.0	2.2	0.0	0.0	181.4	0.0	31.6	1387.8	11.4	26.2	0.0	1656.2	4.8	14.8	0.0	15.8	2374.4	0.0	0.0	36.0	3215.2	6.2	0.6	12175.4	1.4	650.2	0.0	0.0	0.0	0.0	80.4	0.0	0.0	4.4	0.0	2.0	0.0	0.0	6.8	2.8	0.0	0.0	5574.6	8.2	0.0	0.0	297.4	0.8	14.8	0.0	13392.6	0.0	0.0	0.6	19155.6	4063.2	0.0	146.129581556	
4	1364.22222222	3.44444444444	482.888888889	18978.2222222	757.333333333	81.4444444444	0.0	0.0	29.8888888889	0.0	0.0	31317.2222222	57522.4444444	308.555555556	23177.3333333	0.0	14.3333333333	0.0	22.7777777778	550885148.444	17167.3333333	838.777777778	89	1958	1958	1958	66.8	0.2	0.0	0.0	4.0	14.0	0.0	94.4	2.6	1086.6	1305.0	493.8	4.0	4920.2	167.2	17.8	4.0	380.0	0.0	101.0	9706.2	0.0	2.4	2.4	149.6	0.4	4.0	0.0	0.0	23.6	0.0	588.8	2.0	0.0	0.0	0.0	0.0	0.0	7.4	3.4	0.0	13.6	7.8	0.0	0.0	83.0	0.0	3.4	3067.2	0.2	50.6	0.0	40.0	4.2	23.0	0.0	59.2	12854.0	0.0	0.0	7.0	974.2	5.2	1.0	442.0	1.2	99.2	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	1.8	2.0	0.0	0.0	14.6	4.0	0.0	0.0	735.0	24.2	0.0	0.0	71.0	0.6	23.0	0.0	5104.6	0.0	16.6	2.2	18343.8	1700.4	0.0	79.0361972723	
5	724.0	1.4	303.4	22321.8	373.6	36.4	0.0	0.0	82.4	0.0	0.0	22848.4	30934.2	166.8	13796.8	0.0	72.2	0.0	18.4	506740736.0	11156.4	410.0	102	17442	17442	17952	49.2	0.0	0.0	0.0	3.4	26.0	0.0	10.0	0.0	430.2	620.2	341.4	4.0	1149.6	101.6	40.0	4.0	87.8	0.0	49.0	2998.2	0.0	2.0	4.2	79.8	0.0	4.0	0.0	0.0	7.6	0.0	81.6	2.0	0.0	0.0	0.0	0.0	0.0	8.2	7.2	0.0	26.8	3.6	0.0	0.0	76.4	0.0	6.0	608.2	4.2	32.2	0.0	60.4	3.2	14.8	0.0	7.0	1145.6	0.0	0.0	13.0	363.2	5.0	1.0	762.6	1.0	214.8	0.0	0.0	0.0	0.0	8.8	0.0	0.0	5.0	0.0	2.0	0.0	0.0	10.4	3.4	0.0	0.0	495.8	14.4	0.0	0.0	103.8	1.0	14.6	0.0	457.8	0.0	0.8	1.0	2630.6	402.8	0.0	95.3187540586	
6	774.0	1.2	491.0	16705.4	323.2	73.2	0.0	0.0	52.0	0.8	1.6	43602.4	65076.0	131.4	21677.0	0.0	14.4	0.0	16.8	499636633.6	10816.8	396.4	75	10275	11100	11325	63.0	0.0	1.0	0.0	0.0	32.0	0.0	27.4	0.0	557.8	368.0	169.6	0.0	1772.8	377.0	15.0	0.0	68.6	0.0	36.0	2791.0	0.0	3.0	0.0	93.0	0.0	0.0	0.0	0.0	19.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	6.0	0.0	4.0	3.4	0.0	0.0	77.0	316.4	0.0	1173.8	6.0	121.6	0.0	812.2	1.0	22.8	0.0	7.0	3767.4	0.0	0.0	16.0	228.6	1.0	1.0	861.0	2.4	143.8	0.0	0.0	0.0	0.0	116.4	0.0	0.0	0.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	336.2	22.6	0.0	0.0	124.2	2.2	22.8	0.0	898.2	0.0	0.0	3.0	7394.0	215.2	0.0	70.4355542264	
7	7973.0	1.33333333333	2931.0	42361.3333333	6700.66666667	1160.0	0.0	0.0	122.333333333	0.666666666667	10.0	236695.666667	611098.0	464.333333333	25302.6666667	0.0	49.3333333333	0.0	23.0	534477482.667	18228.3333333	7860.66666667	252	46368	45108	42840	44.0	1.0	1.0	0.0	4.0	26.0	0.0	70.8	0.0	43808.2	63795.4	2302.2	4.0	6581.2	120.2	39.0	4.0	690.2	0.0	209.0	121704.2	0.0	1.0	113.6	166.4	0.0	4.0	0.0	0.0	13.0	0.0	145.6	2.0	0.0	0.0	0.0	0.0	11.2	79.6	41.6	0.0	169.6	3.0	0.0	0.0	102.8	0.0	7.0	979.2	74.6	50.4	0.0	19173.6	5.2	28.4	0.0	5.0	2695.2	1.0	0.0	13.0	43745.6	7.0	1.0	247303.4	1.8	283.2	0.0	0.0	0.0	0.0	49.2	0.0	0.0	3.0	0.0	4.0	37.0	0.0	21.6	4.0	10.2	4.6	76240.4	25.6	0.0	0.0	164.8	0.0	28.4	10.2	80911.6	0.0	0.0	2.0	44742.6	386.8	0.0	293.186725062	
8	368.5	1.0	245.25	20237.0	44.25	18.25	0.0	0.0	30.75	0.0	0.0	16230.0	22465.25	130.0	7552.75	0.0	1.0	0.0	9.0	488832000.0	9431.25	62.5	87	11571	8439	13572	13.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8333333333	1.0	52.3333333333	40.1666666667	53.6666666666	0.0	165.0	24.8333333333	0.0	0.0	17.6666666667	0.0	10.5	245.833333333	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	5.0	0.0	79.5	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.33333333333	0.0	0.0	0.0	23.0	0.0	0.0	181.5	0.0	10.5	0.0	3.33333333333	0.0	1.5	0.0	5.66666666667	365.333333333	0.0	0.0	0.0	30.5	0.0	0.0	0.0	1.83333333333	7.16666666667	0.0	0.0	0.0	0.0	16.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.0	36.3333333333	0.166666666667	0.0	0.0	15.0	1.33333333333	1.5	0.0	686.666666667	0.0	0.0	0.0	805.333333333	389.333333333	0.0	72.5407300852	
9	1109.33333333	4.5	711.333333333	43712.3333333	151.5	61.8333333333	0.0	0.0	64.3333333333	0.333333333333	15.3333333333	71898.1666667	94855.0	319.5	14254.8333333	0.0	0.666666666667	0.0	14.1666666667	495992832.0	14197.1666667	213.333333333	212	41552	40492	39432	33.0	0.2	0.0	0.0	0.0	0.0	0.0	50.4	1.0	1013.4	1495.6	671.0	0.0	1476.8	123.8	0.0	0.0	161.0	0.0	105.0	4292.4	0.0	0.0	0.0	58.6	0.0	0.0	0.0	0.0	23.8	0.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	1.0	0.0	0.0	35.4	0.0	0.0	1218.2	0.0	1601.2	0.0	10.6	1.0	9.8	0.0	15.0	3325.0	0.0	0.0	0.0	932.6	4.4	0.0	580.0	1.0	11.0	0.0	0.0	0.0	0.0	42.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	0.0	0.0	0.0	3787.8	23.6	0.0	0.0	23.4	1.2	9.8	0.0	3719.6	0.0	0.0	0.0	6109.4	868.6	0.0	229.815471112	
10	453.75	0.5	268.0	18090.75	42.0	17.75	0.0	0.0	21.0	0.25	0.0	16112.25	23836.5	171.0	6928.0	0.0	1.0	0.0	9.25	485387264.0	8646.75	59.75	79	12798	14141	14694	19.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	1.0	104.4	116.2	82.8	0.0	183.2	36.6	0.0	0.0	53.2	0.0	28.6	541.2	0.0	0.0	0.0	35.6	0.0	0.0	0.0	0.0	4.6	0.0	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	2.8	0.0	0.0	0.0	25.4	0.0	0.0	212.4	0.0	18.0	0.0	2.6	0.8	3.6	0.0	6.8	427.6	0.0	0.0	0.0	77.6	0.6	0.0	0.4	1.0	6.6	0.0	0.0	0.0	0.0	10.4	0.0	0.0	0.0	0.2	0.0	0.0	0.0	1.4	0.0	0.0	0.0	93.6	1.4	0.0	0.0	16.0	1.0	3.6	0.0	1147.6	0.0	0.0	0.0	1061.2	474.8	0.0	72.7610953589	
